month_start,category_group,merchant_category,purchases,spend
2024-09-01,Online,Online marketplaces,397,77184.570000
2024-09-01,Everyday,Groceries,367,58054.310000
2024-09-01,Travel,Airlines and travel,80,57477.760000
2024-09-01,Transport,Fuel,186,40563.390000
2024-09-01,Dining,Restaurants,271,35184.860000
2024-09-01,Dining,Fast food,318,18149.690000
2024-09-01,Transport,E-hailing and taxis,227,17776.830000
2024-09-01,Shopping,Clothing,81,17172.530000
2024-09-01,Bills,Telco and bills,104,15944.460000
2024-09-01,Shopping,Electronics,41,15867.420000
2024-09-01,Everyday,Pharmacies,75,7344.870000
2024-09-01,Online,Streaming and subscriptions,98,7159.410000
2024-10-01,Online,Online marketplaces,989,155137.490000
2024-10-01,Everyday,Groceries,834,135144.810000
2024-10-01,Dining,Restaurants,678,82016.600000
2024-10-01,Travel,Airlines and travel,136,80991.560000
2024-10-01,Transport,Fuel,404,78126.480000
2024-10-01,Shopping,Clothing,189,48949.250000
2024-10-01,Dining,Fast food,679,42881.770000
2024-10-01,Transport,E-hailing and taxis,516,41083.460000
2024-10-01,Bills,Telco and bills,234,40794.890000
2024-10-01,Shopping,Electronics,87,31897.330000
2024-10-01,Everyday,Pharmacies,166,26380.340000
2024-10-01,Online,Streaming and subscriptions,304,24631.860000
2024-11-01,Online,Online marketplaces,1582,287035.540000
2024-11-01,Everyday,Groceries,1338,216131.360000
2024-11-01,Travel,Airlines and travel,232,146889.170000
2024-11-01,Dining,Restaurants,1001,121734.740000
2024-11-01,Transport,Fuel,637,107593.470000
2024-11-01,Dining,Fast food,1066,72648.280000
2024-11-01,Shopping,Clothing,300,72086.150000
2024-11-01,Bills,Telco and bills,382,70365.890000
2024-11-01,Transport,E-hailing and taxis,832,70256.680000
2024-11-01,Shopping,Electronics,114,54246.080000
2024-11-01,Online,Streaming and subscriptions,448,48412.330000
2024-11-01,Everyday,Pharmacies,276,45892.670000
2024-12-01,Online,Online marketplaces,2046,355345.970000
2024-12-01,Everyday,Groceries,1906,296507.770000
2024-12-01,Travel,Airlines and travel,319,205507.220000
2024-12-01,Dining,Restaurants,1530,178111.140000
2024-12-01,Transport,Fuel,864,173101.800000
2024-12-01,Shopping,Electronics,210,104606.690000
2024-12-01,Shopping,Clothing,422,102338.560000
2024-12-01,Dining,Fast food,1498,101667.830000
2024-12-01,Transport,E-hailing and taxis,1154,88008.580000
2024-12-01,Bills,Telco and bills,533,82577.460000
2024-12-01,Online,Streaming and subscriptions,647,62412.090000
2024-12-01,Everyday,Pharmacies,398,62009.990000
2025-01-01,Online,Online marketplaces,2675,567319.070000
2025-01-01,Everyday,Groceries,2323,469376.520000
2025-01-01,Travel,Airlines and travel,394,301596.670000
2025-01-01,Transport,Fuel,1171,285958.230000
2025-01-01,Dining,Restaurants,1824,255060.490000
2025-01-01,Dining,Fast food,1960,163536.440000
2025-01-01,Shopping,Clothing,554,163252.610000
2025-01-01,Shopping,Electronics,263,155062.610000
2025-01-01,Bills,Telco and bills,679,147050.980000
2025-01-01,Transport,E-hailing and taxis,1410,136673.210000
2025-01-01,Everyday,Pharmacies,489,93342.850000
2025-01-01,Online,Streaming and subscriptions,765,91529.480000
2025-02-01,Online,Online marketplaces,3248,709058.550000
2025-02-01,Everyday,Groceries,2982,603566.840000
2025-02-01,Travel,Airlines and travel,523,359988.330000
2025-02-01,Dining,Restaurants,2335,356030.110000
2025-02-01,Transport,Fuel,1416,328956.410000
2025-02-01,Shopping,Electronics,340,213190.320000
2025-02-01,Dining,Fast food,2434,201789.830000
2025-02-01,Shopping,Clothing,688,194793.730000
2025-02-01,Transport,E-hailing and taxis,1810,180613.250000
2025-02-01,Bills,Telco and bills,822,178565.210000
2025-02-01,Everyday,Pharmacies,634,115344.040000
2025-02-01,Online,Streaming and subscriptions,953,115219.720000
2025-03-01,Online,Online marketplaces,4013,772047.050000
2025-03-01,Everyday,Groceries,3574,641813.830000
2025-03-01,Travel,Airlines and travel,619,445719.980000
2025-03-01,Transport,Fuel,1834,417513.020000
2025-03-01,Dining,Restaurants,2824,388384.240000
2025-03-01,Shopping,Clothing,869,245454.910000
2025-03-01,Dining,Fast food,2970,245437.710000
2025-03-01,Transport,E-hailing and taxis,2216,212989.540000
2025-03-01,Bills,Telco and bills,1084,212801.910000
2025-03-01,Shopping,Electronics,397,203665.240000
2025-03-01,Online,Streaming and subscriptions,1160,144120.810000
2025-03-01,Everyday,Pharmacies,710,110577.100000
2025-04-01,Online,Online marketplaces,4640,886883.530000
2025-04-01,Everyday,Groceries,4279,761585.600000
2025-04-01,Travel,Airlines and travel,736,479118.270000
2025-04-01,Dining,Restaurants,3248,450646.230000
2025-04-01,Transport,Fuel,1966,418921.170000
2025-04-01,Shopping,Clothing,969,280823.530000
2025-04-01,Shopping,Electronics,442,266995.110000
2025-04-01,Dining,Fast food,3331,259097.330000
2025-04-01,Bills,Telco and bills,1154,224647.750000
2025-04-01,Transport,E-hailing and taxis,2503,224295.220000
2025-04-01,Online,Streaming and subscriptions,1417,152448.140000
2025-04-01,Everyday,Pharmacies,880,147629.660000
2025-05-01,Online,Online marketplaces,5427,1039157.550000
2025-05-01,Everyday,Groceries,4760,837476.420000
2025-05-01,Travel,Airlines and travel,815,525292.960000
2025-05-01,Transport,Fuel,2380,499841.860000
2025-05-01,Dining,Restaurants,3776,467965.790000
2025-05-01,Shopping,Clothing,1081,285050.490000
2025-05-01,Dining,Fast food,3775,268410.390000
2025-05-01,Shopping,Electronics,507,256535.350000
2025-05-01,Transport,E-hailing and taxis,2950,251236.750000
2025-05-01,Bills,Telco and bills,1374,239013.680000
2025-05-01,Online,Streaming and subscriptions,1592,165651.320000
2025-05-01,Everyday,Pharmacies,1009,158024.660000
2025-06-01,Online,Online marketplaces,6030,1165345.100000
2025-06-01,Everyday,Groceries,5414,992253.440000
2025-06-01,Travel,Airlines and travel,975,656662.670000
2025-06-01,Dining,Restaurants,4313,577029.860000
2025-06-01,Transport,Fuel,2618,573365.430000
2025-06-01,Dining,Fast food,4448,336107.230000
2025-06-01,Shopping,Clothing,1248,329644.190000
2025-06-01,Shopping,Electronics,580,287884.800000
2025-06-01,Bills,Telco and bills,1555,284628.260000
2025-06-01,Transport,E-hailing and taxis,3164,280865.420000
2025-06-01,Online,Streaming and subscriptions,1875,196191.410000
2025-06-01,Everyday,Pharmacies,1157,190412.320000
2025-07-01,Online,Online marketplaces,6835,1411230.790000
2025-07-01,Everyday,Groceries,6267,1201609.480000
2025-07-01,Travel,Airlines and travel,1103,792899.220000
2025-07-01,Transport,Fuel,2938,683981.850000
2025-07-01,Dining,Restaurants,4661,675138.350000
2025-07-01,Dining,Fast food,4951,410149.690000
2025-07-01,Shopping,Electronics,659,388953.430000
2025-07-01,Shopping,Clothing,1365,365135.650000
2025-07-01,Transport,E-hailing and taxis,3637,359380.850000
2025-07-01,Bills,Telco and bills,1703,334598.460000
2025-07-01,Online,Streaming and subscriptions,2067,248774.270000
2025-07-01,Everyday,Pharmacies,1213,207232.460000
2025-08-01,Online,Online marketplaces,7482,1552896.940000
2025-08-01,Everyday,Groceries,6585,1242764.320000
2025-08-01,Travel,Airlines and travel,1180,882328.950000
2025-08-01,Transport,Fuel,3285,769501.740000
2025-08-01,Dining,Restaurants,5168,729203.080000
2025-08-01,Shopping,Electronics,784,473621.840000
2025-08-01,Dining,Fast food,5503,461042.540000
2025-08-01,Bills,Telco and bills,1985,444142.700000
2025-08-01,Shopping,Clothing,1491,423478.470000
2025-08-01,Transport,E-hailing and taxis,4058,403689.480000
2025-08-01,Online,Streaming and subscriptions,2269,272216.500000
2025-08-01,Everyday,Pharmacies,1320,241590.400000
2025-09-01,Online,Online marketplaces,8304,1679404.110000
2025-09-01,Everyday,Groceries,7410,1392412.160000
2025-09-01,Travel,Airlines and travel,1339,915114.730000
2025-09-01,Transport,Fuel,3573,836737.960000
2025-09-01,Dining,Restaurants,5675,812511.120000
2025-09-01,Shopping,Clothing,1707,489272.810000
2025-09-01,Shopping,Electronics,817,464888.820000
2025-09-01,Transport,E-hailing and taxis,4505,450699.550000
2025-09-01,Dining,Fast food,5755,450134.950000
2025-09-01,Bills,Telco and bills,1993,407480.300000
2025-09-01,Online,Streaming and subscriptions,2456,287137.310000
2025-09-01,Everyday,Pharmacies,1483,238171.100000
2025-10-01,Online,Online marketplaces,8748,1818016.920000
2025-10-01,Everyday,Groceries,8004,1597561.660000
2025-10-01,Travel,Airlines and travel,1338,950056.510000
2025-10-01,Transport,Fuel,3832,930990.890000
