month_start,card_spend,card_purchases,authorisations,approved,card_approval_rate,declined_insufficient_funds,declined_wrong_pin,declined_suspected_fraud,active_cardholders,card_activation_30d
2024-09-01,319970.430000,1905,2372,2268,0.956155,69,21,14,250,0.604207
2024-10-01,759451.540000,5035,5523,5256,0.951657,161,74,32,535,0.557461
2024-11-01,1283662.450000,8001,8683,8292,0.954969,250,96,45,876,0.610542
2024-12-01,1791308.220000,11430,12241,11660,0.952537,313,170,98,1227,0.560000
2025-01-01,2828194.610000,14568,15384,14676,0.953978,437,145,126,1596,0.564444
2025-02-01,3446472.160000,17784,19252,18347,0.952992,527,239,139,1980,0.617689
2025-03-01,4070805.420000,22224,23666,22511,0.951196,681,292,182,2425,0.616687
2025-04-01,4518433.100000,25303,27086,25838,0.953925,758,314,176,2855,0.613692
2025-05-01,4980276.140000,29337,31229,29717,0.951583,913,372,227,3245,0.591358
2025-06-01,5833708.460000,33248,35422,33730,0.952233,1018,396,278,3678,0.617925
2025-07-01,7044832.330000,37301,39649,37804,0.953467,1099,460,286,4121,0.568235
2025-08-01,7896663.580000,40905,43613,41518,0.951964,1221,539,335,4574,0.605696
2025-09-01,8363593.400000,44830,47749,45497,0.952837,1373,523,356,4974,0.582796
2025-10-01,9258956.850000,48184,51106,48724,0.953391,1437,613,332,5425,0.591097
2025-11-01,10085542.410000,52998,56598,53847,0.951394,1635,695,421,5918,0.583661
2025-12-01,10605785.650000,56837,60636,57596,0.949865,1853,754,433,6356,0.563896
2026-01-01,10850337.550000,61767,65641,62563,0.953109,1890,732,456,6926,0.588025
2026-02-01,11546068.500000,66105,70420,67106,0.952940,1987,849,478,7427,0.616962
2026-03-01,12377731.850000,71563,75931,72194,0.950784,2247,929,561,7999,0.595179
2026-04-01,13315520.800000,76542,81713,77719,0.951122,2394,991,609,8530,0.590179
2026-05-01,14247942.110000,82019,87369,83076,0.950864,2634,1005,654,9174,0.575920
2026-06-01,15116130.470000,87328,92579,88251,0.953251,2567,1060,701,9659,0.584166
2026-07-01,15628972.270000,92488,98303,93676,0.952931,2814,1087,726,10304,0.582660
2026-08-01,16940845.530000,98669,104905,99940,0.952671,3018,1174,773,10918,
