month_start,loans_on_book,gross_loans,loans_disbursed,amount_disbursed,par30,gil_ratio,written_off,interest_income,early_delinquency_mob6
2025-01-01,138,1988000.000000,139,1995000.000000,0.000000,0.000000,0.000000,14923.280000,
2025-02-01,332,4594927.240000,198,2747000.000000,0.000000,0.000000,0.000000,34685.120000,
2025-03-01,468,6250649.530000,144,1852000.000000,0.003600,0.000000,0.000000,47732.640000,
2025-04-01,631,8392467.950000,170,2367000.000000,0.002681,0.000000,0.000000,63814.910000,
2025-05-01,751,9821251.160000,128,1739000.000000,0.005727,0.002291,0.000000,74551.110000,
2025-06-01,922,12045083.400000,180,2527000.000000,0.005269,0.001868,0.000000,91206.100000,
2025-07-01,1308,16090821.290000,400,4484500.000000,0.005488,0.000827,22500.000000,128290.310000,0.031008
2025-08-01,1679,19902043.760000,387,4347000.000000,0.006521,0.000669,0.000000,162910.160000,0.031915
2025-09-01,2053,23532976.040000,394,4303500.000000,0.010641,0.001246,13313.860000,196246.420000,0.022222
2025-10-01,2457,27793884.390000,432,5075000.000000,0.011501,0.002739,0.000000,233385.930000,0.038217
2025-11-01,2883,31976978.380000,450,5012000.000000,0.015012,0.002361,17549.370000,270083.550000,0.025000
2025-12-01,3302,35948863.950000,449,5052500.000000,0.020627,0.002968,21812.080000,304632.870000,0.046512
2026-01-01,3501,37756560.800000,238,3101500.000000,0.031080,0.005927,36042.180000,316791.020000,0.123684
2026-02-01,3743,40199066.520000,275,3658000.000000,0.029772,0.007064,44997.520000,333919.090000,0.101408
2026-03-01,3913,41480006.020000,229,2807500.000000,0.034770,0.008594,107681.320000,342241.270000,0.133858
2026-04-01,4136,43528118.770000,280,3585500.000000,0.034611,0.011116,129001.600000,356771.070000,0.114713
2026-05-01,4335,45289071.000000,252,3337000.000000,0.034714,0.011943,150031.290000,368276.520000,0.098592
2026-06-01,4525,46786583.000000,253,3208000.000000,0.036654,0.012654,218092.960000,378306.420000,0.118072
2026-07-01,4696,47769207.090000,231,2799000.000000,0.032956,0.011747,194962.820000,385389.960000,0.017699
2026-08-01,4869,49074347.690000,244,3154000.000000,0.029851,0.012601,220980.110000,393574.430000,0.038023
