month_start,casa_balance,fd_balance,promo_fd_balance,total_deposits,casa_ratio,average_deposits,interest_expense,cost_of_funds,fd_placed
2024-09-01,2361861.920000,71300.000000,0.000000,2433161.920000,0.970697,1216580.960000,2011.740000,0.020119,71300.000000
2024-10-01,5034967.550000,262500.000000,0.000000,5297467.550000,0.950448,3865314.735000,6626.930000,0.020186,191200.000000
2024-11-01,7549696.940000,557300.000000,0.000000,8106996.940000,0.931257,6702232.245000,11164.290000,0.020267,294800.000000
2024-12-01,10797955.610000,808900.000000,0.000000,11606855.610000,0.930308,9856926.275000,16997.490000,0.020304,251600.000000
2025-01-01,14485600.840000,1267300.000000,0.000000,15752900.840000,0.919551,13679878.225000,23626.910000,0.020336,458400.000000
2025-02-01,18439597.550000,1797800.000000,0.000000,20237397.550000,0.911164,17995149.195000,28127.480000,0.020376,530500.000000
2025-03-01,19691789.450000,5708526.510000,3921900.000000,25400315.960000,0.775258,22818856.755000,42561.280000,0.021961,3921900.000000
2025-04-01,21548795.550000,10347491.700000,8581200.000000,31896287.250000,0.675589,28648301.605000,57395.750000,0.024375,4659300.000000
2025-05-01,24296707.780000,14201615.600000,12502700.000000,38498323.380000,0.631111,35197305.315000,77271.060000,0.025849,3921500.000000
2025-06-01,28561861.110000,14992450.190000,12502700.000000,43554311.300000,0.655776,41026317.340000,87533.630000,0.025959,812500.000000
2025-07-01,34100523.040000,15819219.750000,12502700.000000,49919742.790000,0.683107,46737027.045000,100473.300000,0.025312,908900.000000
2025-08-01,38243179.840000,17039972.430000,12502700.000000,55283152.270000,0.691769,52601447.530000,106103.050000,0.023750,1307500.000000
2025-09-01,44117777.500000,16347247.300000,8580800.000000,60465024.800000,0.729641,57874088.535000,108071.730000,0.022720,1553300.000000
2025-10-01,50528302.790000,14404285.420000,3921500.000000,64932588.210000,0.778166,62698806.505000,112705.700000,0.021165,1426100.000000
2025-11-01,56569803.800000,13633361.240000,0.000000,70203165.040000,0.805801,67567876.625000,110121.840000,0.019829,1817300.000000
2025-12-01,60761177.350000,15686126.810000,0.000000,76447304.160000,0.794811,73325234.600000,120224.410000,0.019305,2259100.000000
2026-01-01,65133541.750000,17378757.850000,0.000000,82512299.600000,0.789380,79479801.880000,130436.090000,0.019323,1930000.000000
2026-02-01,70771430.020000,18964968.050000,0.000000,89736398.070000,0.788659,86124348.835000,127665.720000,0.019323,1838600.000000
2026-03-01,75227495.100000,20193792.140000,0.000000,95421287.240000,0.788372,92578842.655000,151955.130000,0.019326,2034000.000000
2026-04-01,81006281.040000,21405313.020000,0.000000,102411594.060000,0.790987,98916440.650000,157145.750000,0.019329,2021400.000000
2026-05-01,86689581.800000,23179416.740000,0.000000,109868998.540000,0.789027,106140296.300000,174296.200000,0.019335,2617100.000000
2026-06-01,91943192.140000,25025401.760000,0.000000,116968593.900000,0.786050,113418796.220000,180301.540000,0.019341,2535600.000000
2026-07-01,97588836.620000,27323822.130000,0.000000,124912658.750000,0.781257,120940626.325000,198727.730000,0.019347,2961600.000000
2026-08-01,103347915.940000,28834734.620000,0.000000,132182650.560000,0.781857,128547654.655000,211272.380000,0.019351,2371900.000000
