month_start,open_customers,monthly_active_customers,active_customer_rate,txns_per_active_customer
2024-09-01,776,714,0.920103,7.057423
2024-10-01,1586,1338,0.843632,8.109865
2024-11-01,2543,1984,0.780181,8.646673
2024-12-01,3535,2666,0.754173,8.883346
2025-01-01,4439,3292,0.741608,9.100851
2025-02-01,5381,3835,0.712693,9.381226
2025-03-01,6504,4576,0.703567,9.720498
2025-04-01,7575,5263,0.694785,9.692951
2025-05-01,8683,5907,0.680295,9.852379
2025-06-01,9786,6615,0.675966,9.905669
2025-07-01,10959,7379,0.673328,9.984009
2025-08-01,12164,8065,0.663022,9.989461
2025-09-01,13374,8815,0.659115,9.972660
2025-10-01,14664,9488,0.647027,9.999262
2025-11-01,16037,10370,0.646630,10.063259
2025-12-01,17524,11201,0.639181,10.022052
2026-01-01,18986,12000,0.632045,10.071000
2026-02-01,20438,12794,0.625991,10.130686
2026-03-01,22055,13772,0.624439,10.127215
2026-04-01,23548,14515,0.616401,10.243541
2026-05-01,25334,15643,0.617471,10.208975
2026-06-01,27083,16516,0.609829,10.279244
2026-07-01,28921,17527,0.606030,10.229874
2026-08-01,30751,18522,0.602322,10.326207
