maturity_month,is_promo_fd,deposits_matured,matured_amount,rolled_over_amount,left_within_30d,retained_30d,window_complete
2025-03-01,False,5,48761.690000,37026.510000,0.000000,48761.690000,True
2025-04-01,False,5,61208.920000,40165.190000,4532.730000,56676.190000,True
2025-05-01,False,12,140518.660000,71523.900000,5708.280000,134810.380000,True
2025-06-01,False,10,68694.460000,46234.590000,19632.650000,49061.810000,True
2025-07-01,False,17,168237.960000,84169.560000,44587.870000,123650.090000,True
2025-08-01,False,21,241684.000000,152152.680000,31775.810000,209908.190000,True
2025-09-01,False,6,61142.640000,21825.820000,31012.900000,30129.740000,True
2025-09-01,True,250,3998576.790000,1714175.560000,1483769.210000,2514807.580000,True
2025-10-01,False,14,174605.920000,108390.920000,54585.780000,120020.140000,True
2025-10-01,True,271,4749938.100000,1352712.390000,2145203.570000,2604734.530000,True
2025-11-01,False,27,232168.710000,114765.810000,26647.670000,205521.040000,True
2025-11-01,True,258,3998189.900000,1445933.910000,1638740.380000,2359449.520000,True
2025-12-01,False,50,407277.160000,193800.160000,79428.150000,327849.010000,True
2026-01-01,False,67,672034.820000,423000.600000,99892.110000,572142.710000,True
2026-02-01,False,77,856922.780000,591262.880000,82847.350000,774075.430000,True
2026-03-01,False,140,2239112.170000,1410315.470000,295478.370000,1943633.800000,True
2026-04-01,False,155,2072734.010000,1240871.690000,389619.520000,1683114.490000,True
2026-05-01,False,144,2059351.610000,1194630.940000,264457.430000,1794894.180000,True
2026-06-01,False,141,1658001.540000,941727.680000,314096.760000,1343904.780000,True
2026-07-01,False,166,1572543.740000,883910.970000,273750.630000,1298793.110000,True
2026-08-01,False,187,2141986.710000,1247322.870000,196501.730000,1945484.980000,False
