month_start,loan_interest_income,deposit_interest_expense,net_interest_income
2024-09-01,0.000000,2011.740000,-2011.740000
2024-10-01,0.000000,6626.930000,-6626.930000
2024-11-01,0.000000,11164.290000,-11164.290000
2024-12-01,0.000000,16997.490000,-16997.490000
2025-01-01,14923.280000,23626.910000,-8703.630000
2025-02-01,34685.120000,28127.480000,6557.640000
2025-03-01,47732.640000,42561.280000,5171.360000
2025-04-01,63814.910000,57395.750000,6419.160000
2025-05-01,74551.110000,77271.060000,-2719.950000
2025-06-01,91206.100000,87533.630000,3672.470000
2025-07-01,128290.310000,100473.300000,27817.010000
2025-08-01,162910.160000,106103.050000,56807.110000
2025-09-01,196246.420000,108071.730000,88174.690000
2025-10-01,233385.930000,112705.700000,120680.230000
2025-11-01,270083.550000,110121.840000,159961.710000
2025-12-01,304632.870000,120224.410000,184408.460000
2026-01-01,316791.020000,130436.090000,186354.930000
2026-02-01,333919.090000,127665.720000,206253.370000
2026-03-01,342241.270000,151955.130000,190286.140000
2026-04-01,356771.070000,157145.750000,199625.320000
2026-05-01,368276.520000,174296.200000,193980.320000
2026-06-01,378306.420000,180301.540000,198004.880000
2026-07-01,385389.960000,198727.730000,186662.230000
2026-08-01,393574.430000,211272.380000,182302.050000
