month_start,channel,channel_name,is_paid,applications_started,new_customers,spend,cost_per_new_customer,m3_active_customers,m3_active_rate,cost_per_m3_active_customer
2024-09-01,affiliate,Cashback affiliates,True,153,76,2868.000000,37.736842,43,0.565789,66.697674
2024-09-01,google_search,Google Search,True,330,170,7738.220000,45.518941,120,0.705882,64.485167
2024-09-01,meta_ads,Meta (Facebook and Instagram),True,348,173,5235.420000,30.262543,112,0.647399,46.744821
2024-09-01,organic,Organic (app stores and direct),False,385,191,0.000000,,155,0.811518,
2024-09-01,referral,Refer a friend,True,61,27,945.000000,35.000000,20,0.740741,47.250000
2024-09-01,tiktok,TikTok,True,268,139,2328.650000,16.752878,29,0.208633,80.298276
2024-10-01,affiliate,Cashback affiliates,True,167,80,2940.000000,36.750000,37,0.462500,79.459459
2024-10-01,google_search,Google Search,True,322,162,7594.780000,46.881358,127,0.783951,59.801417
2024-10-01,meta_ads,Meta (Facebook and Instagram),True,391,204,6152.160000,30.157647,146,0.715686,42.138082
2024-10-01,organic,Organic (app stores and direct),False,413,199,0.000000,,147,0.738693,
2024-10-01,referral,Refer a friend,True,55,21,735.000000,35.000000,16,0.761905,45.937500
2024-10-01,tiktok,TikTok,True,305,144,2512.330000,17.446736,32,0.222222,78.510312
2024-11-01,affiliate,Cashback affiliates,True,211,105,3390.000000,32.285714,47,0.447619,72.127660
2024-11-01,google_search,Google Search,True,400,213,9295.630000,43.641455,171,0.802817,54.360409
2024-11-01,meta_ads,Meta (Facebook and Instagram),True,402,209,6055.990000,28.976029,139,0.665072,43.568273
2024-11-01,organic,Organic (app stores and direct),False,472,243,0.000000,,187,0.769547,
2024-11-01,referral,Refer a friend,True,90,37,1295.000000,35.000000,25,0.675676,51.800000
2024-11-01,tiktok,TikTok,True,358,163,3246.440000,19.916810,35,0.214724,92.755429
2024-12-01,affiliate,Cashback affiliates,True,203,94,3192.000000,33.957447,60,0.638298,53.200000
2024-12-01,google_search,Google Search,True,380,198,8786.350000,44.375505,157,0.792929,55.964013
2024-12-01,meta_ads,Meta (Facebook and Instagram),True,477,217,7292.990000,33.608249,150,0.691244,48.619933
2024-12-01,organic,Organic (app stores and direct),False,474,247,0.000000,,190,0.769231,
2024-12-01,referral,Refer a friend,True,124,64,2240.000000,35.000000,49,0.765625,45.714286
2024-12-01,tiktok,TikTok,True,407,192,3365.740000,17.529896,33,0.171875,101.992121
2025-01-01,affiliate,Cashback affiliates,True,201,101,3318.000000,32.851485,43,0.425743,77.162791
2025-01-01,google_search,Google Search,True,379,186,8737.390000,46.975215,146,0.784946,59.845137
2025-01-01,meta_ads,Meta (Facebook and Instagram),True,411,202,6071.700000,30.057921,145,0.717822,41.873793
2025-01-01,organic,Organic (app stores and direct),False,453,211,0.000000,,162,0.767773,
2025-01-01,referral,Refer a friend,True,141,81,2835.000000,35.000000,64,0.790123,44.296875
2025-01-01,tiktok,TikTok,True,369,170,3237.830000,19.046059,39,0.229412,83.021282
2025-02-01,affiliate,Cashback affiliates,True,198,88,3084.000000,35.045455,36,0.409091,85.666667
2025-02-01,google_search,Google Search,True,377,192,8452.820000,44.025104,147,0.765625,57.502177
2025-02-01,meta_ads,Meta (Facebook and Instagram),True,418,239,6149.310000,25.729331,168,0.702929,36.603036
2025-02-01,organic,Organic (app stores and direct),False,518,250,0.000000,,202,0.808000,
2025-02-01,referral,Refer a friend,True,127,47,1645.000000,35.000000,38,0.808511,43.289474
2025-02-01,tiktok,TikTok,True,363,173,3151.710000,18.217977,42,0.242775,75.040714
2025-03-01,affiliate,Cashback affiliates,True,226,107,3426.000000,32.018692,48,0.448598,71.375000
2025-03-01,google_search,Google Search,True,476,234,10652.180000,45.522137,191,0.816239,55.770576
2025-03-01,meta_ads,Meta (Facebook and Instagram),True,469,237,6696.280000,28.254346,156,0.658228,42.924872
2025-03-01,organic,Organic (app stores and direct),False,636,306,0.000000,,234,0.764706,
2025-03-01,referral,Refer a friend,True,159,75,2625.000000,35.000000,50,0.666667,52.500000
2025-03-01,tiktok,TikTok,True,454,214,3867.700000,18.073364,56,0.261682,69.066071
2025-04-01,affiliate,Cashback affiliates,True,185,85,3030.000000,35.647059,41,0.482353,73.902439
2025-04-01,google_search,Google Search,True,450,226,10344.720000,45.773097,174,0.769912,59.452414
2025-04-01,meta_ads,Meta (Facebook and Instagram),True,444,221,6824.170000,30.878597,153,0.692308,44.602418
2025-04-01,organic,Organic (app stores and direct),False,685,337,0.000000,,273,0.810089,
2025-04-01,referral,Refer a friend,True,165,77,2695.000000,35.000000,64,0.831169,42.109375
2025-04-01,tiktok,TikTok,True,372,194,3255.970000,16.783351,49,0.252577,66.448367
2025-05-01,affiliate,Cashback affiliates,True,205,86,3048.000000,35.441860,46,0.534884,66.260870
2025-05-01,google_search,Google Search,True,381,190,9114.000000,47.968421,147,0.773684,62.000000
2025-05-01,meta_ads,Meta (Facebook and Instagram),True,444,216,6768.670000,31.336435,149,0.689815,45.427315
2025-05-01,organic,Organic (app stores and direct),False,754,362,0.000000,,270,0.745856,
2025-05-01,referral,Refer a friend,True,170,81,2835.000000,35.000000,71,0.876543,39.929577
2025-05-01,tiktok,TikTok,True,504,236,4297.570000,18.210042,52,0.220339,82.645577
2025-06-01,affiliate,Cashback affiliates,True,225,108,3444.000000,31.888889,58,0.537037,59.379310
2025-06-01,google_search,Google Search,True,423,205,9622.860000,46.940780,162,0.790244,59.400370
2025-06-01,meta_ads,Meta (Facebook and Instagram),True,454,212,6862.760000,32.371509,141,0.665094,48.672057
2025-06-01,organic,Organic (app stores and direct),False,610,329,0.000000,,277,0.841945,
2025-06-01,referral,Refer a friend,True,185,85,2975.000000,35.000000,74,0.870588,40.202703
2025-06-01,tiktok,TikTok,True,470,227,3975.590000,17.513612,42,0.185022,94.656905
2025-07-01,affiliate,Cashback affiliates,True,222,117,3606.000000,30.820513,54,0.461538,66.777778
2025-07-01,google_search,Google Search,True,511,249,11568.380000,46.459357,193,0.775100,59.939793
2025-07-01,meta_ads,Meta (Facebook and Instagram),True,506,240,8018.160000,33.409000,173,0.720833,46.347746
2025-07-01,organic,Organic (app stores and direct),False,621,294,0.000000,,224,0.761905,
2025-07-01,referral,Refer a friend,True,221,116,4060.000000,35.000000,89,0.767241,45.617978
2025-07-01,tiktok,TikTok,True,489,232,4035.010000,17.392284,43,0.185345,93.837442
2025-08-01,affiliate,Cashback affiliates,True,208,92,3156.000000,34.304348,41,0.445652,76.975610
2025-08-01,google_search,Google Search,True,446,221,9982.460000,45.169502,164,0.742081,60.868659
2025-08-01,meta_ads,Meta (Facebook and Instagram),True,494,235,7083.790000,30.143787,170,0.723404,41.669353
2025-08-01,organic,Organic (app stores and direct),False,684,342,0.000000,,265,0.774854,
2025-08-01,referral,Refer a friend,True,192,97,3395.000000,35.000000,82,0.845361,41.402439
2025-08-01,tiktok,TikTok,True,615,287,5427.650000,18.911672,77,0.268293,70.488961
2025-09-01,affiliate,Cashback affiliates,True,231,106,3408.000000,32.150943,49,0.462264,69.551020
2025-09-01,google_search,Google Search,True,452,237,11078.360000,46.744135,185,0.780591,59.883027
2025-09-01,meta_ads,Meta (Facebook and Instagram),True,482,252,7567.180000,30.028492,187,0.742063,40.466203
2025-09-01,organic,Organic (app stores and direct),False,709,366,0.000000,,275,0.751366,
2025-09-01,referral,Refer a friend,True,198,94,3290.000000,35.000000,82,0.872340,40.121951
2025-09-01,tiktok,TikTok,True,540,246,4526.780000,18.401545,61,0.247967,74.209508
2025-10-01,affiliate,Cashback affiliates,True,246,124,3732.000000,30.096774,63,0.508065,59.238095
2025-10-01,google_search,Google Search,True,486,244,11207.020000,45.930410,194,0.795082,57.768144
2025-10-01,meta_ads,Meta (Facebook and Instagram),True,562,271,8336.030000,30.760258,183,0.675277,45.552077
2025-10-01,organic,Organic (app stores and direct),False,756,358,0.000000,,264,0.737430,
2025-10-01,referral,Refer a friend,True,254,125,4375.000000,35.000000,104,0.832000,42.067308
2025-10-01,tiktok,TikTok,True,555,258,4596.330000,17.815233,66,0.255814,69.641364
2025-11-01,affiliate,Cashback affiliates,True,261,116,3588.000000,30.931034,63,0.543103,56.952381
2025-11-01,google_search,Google Search,True,540,259,13072.920000,50.474595,194,0.749035,67.386186
2025-11-01,meta_ads,Meta (Facebook and Instagram),True,589,291,8985.970000,30.879622,187,0.642612,48.053316
2025-11-01,organic,Organic (app stores and direct),False,693,341,0.000000,,258,0.756598,
2025-11-01,referral,Refer a friend,True,286,145,5075.000000,35.000000,117,0.806897,43.376068
2025-11-01,tiktok,TikTok,True,631,313,5445.080000,17.396422,54,0.172524,100.834815
2025-12-01,affiliate,Cashback affiliates,True,282,136,3948.000000,29.029412,66,0.485294,59.818182
2025-12-01,google_search,Google Search,True,547,269,12240.460000,45.503569,212,0.788104,57.738019
2025-12-01,meta_ads,Meta (Facebook and Instagram),True,540,279,8514.020000,30.516201,182,0.652330,46.780330
2025-12-01,organic,Organic (app stores and direct),False,779,399,0.000000,,306,0.766917,
2025-12-01,referral,Refer a friend,True,312,154,5390.000000,35.000000,121,0.785714,44.545455
2025-12-01,tiktok,TikTok,True,770,363,6341.200000,17.468871,71,0.195592,89.312676
2026-01-01,affiliate,Cashback affiliates,True,281,128,3804.000000,29.718750,63,0.492188,60.380952
2026-01-01,google_search,Google Search,True,504,241,11305.230000,46.909668,187,0.775934,60.455775
2026-01-01,meta_ads,Meta (Facebook and Instagram),True,594,308,8837.310000,28.692565,209,0.678571,42.283780
2026-01-01,organic,Organic (app stores and direct),False,807,387,0.000000,,306,0.790698,
2026-01-01,referral,Refer a friend,True,325,155,5425.000000,35.000000,125,0.806452,43.400000
2026-01-01,tiktok,TikTok,True,632,327,5237.360000,16.016391,82,0.250765,63.870244
2026-02-01,affiliate,Cashback affiliates,True,263,115,3570.000000,31.043478,54,0.469565,66.111111
2026-02-01,google_search,Google Search,True,513,273,12301.990000,45.062234,213,0.780220,57.755822
2026-02-01,meta_ads,Meta (Facebook and Instagram),True,554,277,8588.180000,31.004260,189,0.682310,45.440106
2026-02-01,organic,Organic (app stores and direct),False,762,406,0.000000,,329,0.810345,
2026-02-01,referral,Refer a friend,True,302,159,5565.000000,35.000000,126,0.792453,44.166667
2026-02-01,tiktok,TikTok,True,649,331,5573.550000,16.838520,78,0.235650,71.455769
2026-03-01,affiliate,Cashback affiliates,True,365,190,4920.000000,25.894737,93,0.489474,52.903226
2026-03-01,google_search,Google Search,True,565,274,13082.200000,47.745255,222,0.810219,58.928829
2026-03-01,meta_ads,Meta (Facebook and Instagram),True,647,330,9621.670000,29.156576,229,0.693939,42.016026
2026-03-01,organic,Organic (app stores and direct),False,741,403,0.000000,,312,0.774194,
2026-03-01,referral,Refer a friend,True,309,166,5810.000000,35.000000,140,0.843373,41.500000
2026-03-01,tiktok,TikTok,True,735,358,6096.500000,17.029330,82,0.229050,74.347561
2026-04-01,affiliate,Cashback affiliates,True,267,122,3696.000000,30.295082,57,0.467213,64.842105
2026-04-01,google_search,Google Search,True,528,291,12649.250000,43.468213,207,0.711340,61.107488
2026-04-01,meta_ads,Meta (Facebook and Instagram),True,640,319,9754.530000,30.578464,226,0.708464,43.161637
2026-04-01,organic,Organic (app stores and direct),False,795,399,0.000000,,316,0.791980,
2026-04-01,referral,Refer a friend,True,285,151,5285.000000,35.000000,122,0.807947,43.319672
2026-04-01,tiktok,TikTok,True,668,334,5474.940000,16.392036,85,0.254491,64.411059
2026-05-01,affiliate,Cashback affiliates,True,345,185,4830.000000,26.108108,82,0.443243,58.902439
2026-05-01,google_search,Google Search,True,540,308,12525.980000,40.668766,233,0.756494,53.759571
2026-05-01,meta_ads,Meta (Facebook and Instagram),True,599,329,8924.450000,27.125988,219,0.665653,40.750913
2026-05-01,organic,Organic (app stores and direct),False,920,491,0.000000,,377,0.767821,
2026-05-01,referral,Refer a friend,True,328,206,7210.000000,35.000000,176,0.854369,40.965909
2026-05-01,tiktok,TikTok,True,758,387,6284.920000,16.240103,92,0.237726,68.314348
2026-06-01,affiliate,Cashback affiliates,True,309,165,4470.000000,27.090909,,,
2026-06-01,google_search,Google Search,True,571,277,12510.520000,45.164332,,,
2026-06-01,meta_ads,Meta (Facebook and Instagram),True,606,337,9399.250000,27.890950,,,
2026-06-01,organic,Organic (app stores and direct),False,849,449,0.000000,,,,
2026-06-01,referral,Refer a friend,True,355,213,7455.000000,35.000000,,,
2026-06-01,tiktok,TikTok,True,762,419,6580.180000,15.704487,,,
2026-07-01,affiliate,Cashback affiliates,True,320,165,4470.000000,27.090909,,,
