month_start,kpi_id,kpi_name,family,unit,direction,value,plan,status,status_label,status_icon
2024-09-01,K01,Applications started,growth,count,higher,1545.000000,,,,
2024-10-01,K01,Applications started,growth,count,higher,1653.000000,,,,
2024-11-01,K01,Applications started,growth,count,higher,1933.000000,,,,
2024-12-01,K01,Applications started,growth,count,higher,2065.000000,,,,
2025-01-01,K01,Applications started,growth,count,higher,1954.000000,,,,
2025-02-01,K01,Applications started,growth,count,higher,2001.000000,,,,
2025-03-01,K01,Applications started,growth,count,higher,2420.000000,,,,
2025-04-01,K01,Applications started,growth,count,higher,2301.000000,,,,
2025-05-01,K01,Applications started,growth,count,higher,2458.000000,,,,
2025-06-01,K01,Applications started,growth,count,higher,2367.000000,,,,
2025-07-01,K01,Applications started,growth,count,higher,2570.000000,,,,
2025-08-01,K01,Applications started,growth,count,higher,2639.000000,,,,
2025-09-01,K01,Applications started,growth,count,higher,2612.000000,,,,
2025-10-01,K01,Applications started,growth,count,higher,2859.000000,,,,
2025-11-01,K01,Applications started,growth,count,higher,3000.000000,,,,
2025-12-01,K01,Applications started,growth,count,higher,3230.000000,,,,
2026-01-01,K01,Applications started,growth,count,higher,3143.000000,,,,
2026-02-01,K01,Applications started,growth,count,higher,3043.000000,,,,
2026-03-01,K01,Applications started,growth,count,higher,3362.000000,,,,
2026-04-01,K01,Applications started,growth,count,higher,3183.000000,,,,
2026-05-01,K01,Applications started,growth,count,higher,3490.000000,,,,
2026-06-01,K01,Applications started,growth,count,higher,3452.000000,,,,
2026-07-01,K01,Applications started,growth,count,higher,3669.000000,,,,
2026-08-01,K01,Applications started,growth,count,higher,3639.000000,,,,
2024-09-01,K02,New customers,growth,count,higher,776.000000,800.000000,AMBER,Watch,●
2024-10-01,K02,New customers,growth,count,higher,810.000000,850.000000,AMBER,Watch,●
2024-11-01,K02,New customers,growth,count,higher,970.000000,950.000000,GREEN,On plan,▲
2024-12-01,K02,New customers,growth,count,higher,1012.000000,1000.000000,GREEN,On plan,▲
2025-01-01,K02,New customers,growth,count,higher,951.000000,1000.000000,AMBER,Watch,●
2025-02-01,K02,New customers,growth,count,higher,989.000000,1050.000000,AMBER,Watch,●
2025-03-01,K02,New customers,growth,count,higher,1173.000000,1100.000000,GREEN,On plan,▲
2025-04-01,K02,New customers,growth,count,higher,1140.000000,1150.000000,AMBER,Watch,●
