month_start,from_bucket,to_bucket,loans
2025-02-01,Current,1-29,1
2025-02-01,Current,Current,134
2025-02-01,Current,Settled,3
2025-03-01,1-29,30-59,1
2025-03-01,Current,1-29,2
2025-03-01,Current,Current,323
2025-03-01,Current,Settled,6
2025-04-01,1-29,Current,2
2025-04-01,30-59,60-90,1
2025-04-01,Current,1-29,3
2025-04-01,Current,Current,459
2025-04-01,Current,Settled,3
2025-05-01,1-29,1-29,1
2025-05-01,1-29,60-90,1
2025-05-01,1-29,Current,1
2025-05-01,60-90,90+,1
2025-05-01,Current,1-29,7
2025-05-01,Current,30-59,1
2025-05-01,Current,Current,612
2025-05-01,Current,Settled,7
2025-06-01,1-29,1-29,2
2025-06-01,1-29,30-59,3
2025-06-01,1-29,Current,3
2025-06-01,30-59,Current,1
2025-06-01,60-90,60-90,1
2025-06-01,90+,90+,1
2025-06-01,Current,1-29,7
2025-06-01,Current,Current,725
2025-06-01,Current,Settled,8
2025-07-01,1-29,30-59,7
2025-07-01,1-29,Current,2
2025-07-01,30-59,30-59,1
2025-07-01,30-59,Current,2
2025-07-01,60-90,90+,1
2025-07-01,90+,Written off,1
2025-07-01,Current,1-29,11
2025-07-01,Current,30-59,2
2025-07-01,Current,Current,888
2025-07-01,Current,Settled,7
2025-08-01,1-29,1-29,4
2025-08-01,1-29,30-59,4
2025-08-01,1-29,Current,3
2025-08-01,30-59,30-59,1
2025-08-01,30-59,60-90,7
2025-08-01,30-59,Current,2
2025-08-01,90+,90+,1
2025-08-01,Current,1-29,24
2025-08-01,Current,Current,1252
2025-08-01,Current,Settled,10
2025-09-01,1-29,1-29,3
2025-09-01,1-29,30-59,11
2025-09-01,1-29,Current,14
2025-09-01,30-59,30-59,2
2025-09-01,30-59,60-90,3
2025-09-01,60-90,60-90,1
2025-09-01,60-90,90+,5
2025-09-01,60-90,Current,1
2025-09-01,90+,Written off,1
2025-09-01,Current,1-29,35
2025-09-01,Current,30-59,2
2025-09-01,Current,Current,1585
2025-09-01,Current,Settled,16
2025-10-01,1-29,1-29,9
2025-10-01,1-29,30-59,15
2025-10-01,1-29,Current,14
2025-10-01,30-59,30-59,7
2025-10-01,30-59,60-90,4
2025-10-01,30-59,Current,4
2025-10-01,60-90,90+,4
2025-10-01,90+,60-90,1
2025-10-01,90+,90+,4
2025-10-01,Current,1-29,57
2025-10-01,Current,30-59,3
2025-10-01,Current,Current,1908
2025-10-01,Current,Settled,23
2025-11-01,1-29,1-29,14
2025-11-01,1-29,30-59,28
2025-11-01,1-29,Current,22
2025-11-01,1-29,Settled,2
2025-11-01,30-59,30-59,4
2025-11-01,30-59,60-90,14
2025-11-01,30-59,Current,7
2025-11-01,60-90,60-90,2
2025-11-01,60-90,90+,2
2025-11-01,60-90,Current,1
2025-11-01,90+,90+,5
2025-11-01,90+,Written off,3
2025-11-01,Current,1-29,73
2025-11-01,Current,Current,2266
2025-11-01,Current,Settled,14
2025-12-01,1-29,1-29,21
2025-12-01,1-29,30-59,31
2025-12-01,1-29,60-90,1
2025-12-01,1-29,Current,33
2025-12-01,1-29,Settled,1
2025-12-01,30-59,30-59,6
2025-12-01,30-59,60-90,18
2025-12-01,30-59,Current,8
2025-12-01,60-90,60-90,6
2025-12-01,60-90,90+,8
2025-12-01,60-90,Current,2
2025-12-01,90+,90+,6
2025-12-01,90+,Written off,1
2025-12-01,Current,1-29,96
2025-12-01,Current,30-59,12
2025-12-01,Current,Current,2614
2025-12-01,Current,Settled,19
2026-01-01,1-29,1-29,27
2026-01-01,1-29,30-59,51
2026-01-01,1-29,60-90,1
2026-01-01,1-29,Current,38
2026-01-01,30-59,30-59,7
2026-01-01,30-59,60-90,27
2026-01-01,30-59,Current,15
2026-01-01,60-90,60-90,5
2026-01-01,60-90,90+,18
2026-01-01,60-90,Current,2
2026-01-01,90+,90+,10
2026-01-01,90+,Written off,4
2026-01-01,Current,1-29,83
2026-01-01,Current,30-59,11
2026-01-01,Current,Current,2971
2026-01-01,Current,Settled,32
2026-02-01,1-29,1-29,28
2026-02-01,1-29,30-59,42
2026-02-01,1-29,Current,40
2026-02-01,30-59,1-29,3
2026-02-01,30-59,30-59,23
2026-02-01,30-59,60-90,27
2026-02-01,30-59,Current,16
2026-02-01,60-90,30-59,1
2026-02-01,60-90,60-90,7
2026-02-01,60-90,90+,15
2026-02-01,60-90,Current,10
2026-02-01,90+,90+,20
2026-02-01,90+,Current,3
2026-02-01,90+,Written off,5
2026-02-01,Current,1-29,109
2026-02-01,Current,Current,3126
2026-02-01,Current,Settled,26
2026-03-01,1-29,1-29,34
2026-03-01,1-29,30-59,57
2026-03-01,1-29,Current,48
2026-03-01,1-29,Settled,1
2026-03-01,30-59,30-59,17
2026-03-01,30-59,60-90,34
2026-03-01,30-59,Current,15
2026-03-01,60-90,30-59,3
2026-03-01,60-90,60-90,7
2026-03-01,60-90,90+,22
2026-03-01,60-90,Current,2
2026-03-01,90+,90+,17
2026-03-01,90+,Current,3
2026-03-01,90+,Written off,15
2026-03-01,Current,1-29,122
2026-03-01,Current,30-59,14
2026-03-01,Current,Current,3291
2026-03-01,Current,Settled,41
2026-04-01,1-29,1-29,33
2026-04-01,1-29,30-59,61
2026-04-01,1-29,Current,62
2026-04-01,30-59,1-29,2
2026-04-01,30-59,30-59,20
2026-04-01,30-59,60-90,43
2026-04-01,30-59,Current,24
2026-04-01,30-59,Settled,2
2026-04-01,60-90,60-90,9
2026-04-01,60-90,90+,30
2026-04-01,60-90,Current,2
2026-04-01,90+,90+,20
2026-04-01,90+,Current,5
2026-04-01,90+,Written off,14
2026-04-01,Current,1-29,106
2026-04-01,Current,30-59,4
2026-04-01,Current,Current,3438
2026-04-01,Current,Settled,38
2026-05-01,1-29,1-29,27
2026-05-01,1-29,30-59,52
2026-05-01,1-29,Current,61
2026-05-01,1-29,Settled,1
2026-05-01,30-59,30-59,25
2026-05-01,30-59,60-90,40
2026-05-01,30-59,Current,20
2026-05-01,60-90,60-90,15
2026-05-01,60-90,90+,31
2026-05-01,60-90,Current,6
2026-05-01,90+,90+,31
2026-05-01,90+,Current,3
2026-05-01,90+,Written off,16
2026-05-01,Current,1-29,116
2026-05-01,Current,30-59,10
2026-05-01,Current,Current,3649
2026-05-01,Current,Settled,33
2026-06-01,1-29,1-29,35
2026-06-01,1-29,30-59,63
2026-06-01,1-29,Current,45
2026-06-01,30-59,30-59,21
2026-06-01,30-59,60-90,45
2026-06-01,30-59,Current,21
2026-06-01,60-90,60-90,9
2026-06-01,60-90,90+,36
2026-06-01,60-90,Current,10
2026-06-01,90+,90+,34
2026-06-01,90+,Current,4
2026-06-01,90+,Written off,24
2026-06-01,Current,1-29,88
2026-06-01,Current,30-59,5
2026-06-01,Current,Current,3859
2026-06-01,Current,Settled,36
2026-07-01,1-29,1-29,26
2026-07-01,1-29,30-59,47
2026-07-01,1-29,Current,49
2026-07-01,1-29,Settled,1
2026-07-01,30-59,1-29,1
2026-07-01,30-59,30-59,23
2026-07-01,30-59,60-90,41
2026-07-01,30-59,Current,24
2026-07-01,60-90,30-59,1
2026-07-01,60-90,60-90,12
2026-07-01,60-90,90+,32
2026-07-01,60-90,Current,9
2026-07-01,90+,90+,44
2026-07-01,90+,Current,3
2026-07-01,90+,Written off,23
2026-07-01,Current,1-29,98
2026-07-01,Current,30-59,12
2026-07-01,Current,Current,4045
2026-07-01,Current,Settled,34
2026-08-01,1-29,1-29,36
2026-08-01,1-29,30-59,43
2026-08-01,1-29,60-90,7
2026-08-01,1-29,Current,39
2026-08-01,30-59,30-59,15
2026-08-01,30-59,60-90,44
2026-08-01,30-59,Current,24
2026-08-01,60-90,60-90,10
2026-08-01,60-90,90+,37
2026-08-01,60-90,Current,6
2026-08-01,90+,90+,44
2026-08-01,90+,Current,3
2026-08-01,90+,Written off,29
2026-08-01,Current,1-29,110
2026-08-01,Current,30-59,10
2026-08-01,Current,Current,4201
2026-08-01,Current,Settled,38
