month_start,kpi_id,kpi_name,unit,direction,owner,actual,prior_month,plan,pct_of_plan,variance_to_plan,amber_tolerance,status,status_label,status_rank,change_vs_prior_month,status_icon
2024-09-01,K02,New customers,count,higher,Head of Growth,776.000000,,800.000000,0.970000,-24.000000,0.100000,AMBER,Watch,2,flat,●
2024-09-01,K07,Monthly active customers,count,higher,Head of Product,714.000000,,700.000000,1.020000,14.000000,0.050000,GREEN,On plan,1,flat,▲
2024-09-01,K13,Total deposits,rm,higher,Treasurer,2433161.920000,,2500000.000000,0.973265,-66838.080000,0.050000,AMBER,Watch,2,flat,●
2024-09-01,K14,CASA ratio,pct,higher,Treasurer,0.970697,,0.900000,1.078552,0.070697,0.050000,GREEN,On plan,1,flat,▲
2024-09-01,K15,Cost of funds,pct,lower,Treasurer,0.020119,,0.022000,0.914492,-0.001881,0.050000,GREEN,On plan,1,flat,▲
2024-10-01,K02,New customers,count,higher,Head of Growth,810.000000,776.000000,850.000000,0.952941,-40.000000,0.100000,AMBER,Watch,2,better,●
2024-10-01,K07,Monthly active customers,count,higher,Head of Product,1338.000000,714.000000,1400.000000,0.955714,-62.000000,0.050000,AMBER,Watch,2,better,●
2024-10-01,K13,Total deposits,rm,higher,Treasurer,5297467.550000,2433161.920000,5000000.000000,1.059494,297467.550000,0.050000,GREEN,On plan,1,better,▲
2024-10-01,K14,CASA ratio,pct,higher,Treasurer,0.950448,0.970697,0.900000,1.056053,0.050448,0.050000,GREEN,On plan,1,worse,▲
2024-10-01,K15,Cost of funds,pct,lower,Treasurer,0.020186,0.020119,0.022000,0.917563,-0.001814,0.050000,GREEN,On plan,1,worse,▲
2024-11-01,K02,New customers,count,higher,Head of Growth,970.000000,810.000000,950.000000,1.021053,20.000000,0.100000,GREEN,On plan,1,better,▲
2024-11-01,K07,Monthly active customers,count,higher,Head of Product,1984.000000,1338.000000,2100.000000,0.944762,-116.000000,0.050000,RED,Off plan,3,better,▼
2024-11-01,K13,Total deposits,rm,higher,Treasurer,8106996.940000,5297467.550000,8000000.000000,1.013375,106996.940000,0.050000,GREEN,On plan,1,better,▲
2024-11-01,K14,CASA ratio,pct,higher,Treasurer,0.931257,0.950448,0.900000,1.034730,0.031257,0.050000,GREEN,On plan,1,worse,▲
2024-11-01,K15,Cost of funds,pct,lower,Treasurer,0.020267,0.020186,0.022000,0.921214,-0.001733,0.050000,GREEN,On plan,1,worse,▲
2024-12-01,K02,New customers,count,higher,Head of Growth,1012.000000,970.000000,1000.000000,1.012000,12.000000,0.100000,GREEN,On plan,1,better,▲
2024-12-01,K07,Monthly active customers,count,higher,Head of Product,2666.000000,1984.000000,2800.000000,0.952143,-134.000000,0.050000,AMBER,Watch,2,better,●
2024-12-01,K13,Total deposits,rm,higher,Treasurer,11606855.610000,8106996.940000,11000000.000000,1.055169,606855.610000,0.050000,GREEN,On plan,1,better,▲
2024-12-01,K14,CASA ratio,pct,higher,Treasurer,0.930308,0.931257,0.900000,1.033676,0.030308,0.050000,GREEN,On plan,1,worse,▲
2024-12-01,K15,Cost of funds,pct,lower,Treasurer,0.020304,0.020267,0.022000,0.922894,-0.001696,0.050000,GREEN,On plan,1,worse,▲
2025-01-01,K02,New customers,count,higher,Head of Growth,951.000000,1012.000000,1000.000000,0.951000,-49.000000,0.100000,AMBER,Watch,2,worse,●
2025-01-01,K07,Monthly active customers,count,higher,Head of Product,3292.000000,2666.000000,3400.000000,0.968235,-108.000000,0.050000,AMBER,Watch,2,better,●
2025-01-01,K13,Total deposits,rm,higher,Treasurer,15752900.840000,11606855.610000,14000000.000000,1.125207,1752900.840000,0.050000,GREEN,On plan,1,better,▲
2025-01-01,K14,CASA ratio,pct,higher,Treasurer,0.919551,0.930308,0.800000,1.149439,0.119551,0.050000,GREEN,On plan,1,worse,▲
2025-01-01,K15,Cost of funds,pct,lower,Treasurer,0.020336,0.020304,0.022000,0.924343,-0.001664,0.050000,GREEN,On plan,1,worse,▲
2025-01-01,K19,PAR30,pct,lower,Head of Credit Risk,0.000000,,0.025000,0.000000,-0.025000,0.100000,GREEN,On plan,1,flat,▲
2025-02-01,K02,New customers,count,higher,Head of Growth,989.000000,951.000000,1050.000000,0.941905,-61.000000,0.100000,AMBER,Watch,2,better,●
2025-02-01,K07,Monthly active customers,count,higher,Head of Product,3835.000000,3292.000000,4000.000000,0.958750,-165.000000,0.050000,AMBER,Watch,2,better,●
2025-02-01,K13,Total deposits,rm,higher,Treasurer,20237397.550000,15752900.840000,17500000.000000,1.156423,2737397.550000,0.050000,GREEN,On plan,1,better,▲
2025-02-01,K14,CASA ratio,pct,higher,Treasurer,0.911164,0.919551,0.800000,1.138956,0.111164,0.050000,GREEN,On plan,1,worse,▲
2025-02-01,K15,Cost of funds,pct,lower,Treasurer,0.020376,0.020336,0.022000,0.926163,-0.001624,0.050000,GREEN,On plan,1,worse,▲
2025-02-01,K19,PAR30,pct,lower,Head of Credit Risk,0.000000,0.000000,0.025000,0.000000,-0.025000,0.100000,GREEN,On plan,1,flat,▲
2025-03-01,K02,New customers,count,higher,Head of Growth,1173.000000,989.000000,1100.000000,1.066364,73.000000,0.100000,GREEN,On plan,1,better,▲
2025-03-01,K07,Monthly active customers,count,higher,Head of Product,4576.000000,3835.000000,4700.000000,0.973617,-124.000000,0.050000,AMBER,Watch,2,better,●
2025-03-01,K13,Total deposits,rm,higher,Treasurer,25400315.960000,20237397.550000,21000000.000000,1.209539,4400315.960000,0.050000,GREEN,On plan,1,better,▲
2025-03-01,K14,CASA ratio,pct,higher,Treasurer,0.775258,0.911164,0.800000,0.969072,-0.024742,0.050000,AMBER,Watch,2,worse,●
2025-03-01,K15,Cost of funds,pct,lower,Treasurer,0.021961,0.020376,0.022000,0.998227,-0.000039,0.050000,GREEN,On plan,1,worse,▲
2025-03-01,K19,PAR30,pct,lower,Head of Credit Risk,0.003600,0.000000,0.025000,0.143985,-0.021400,0.100000,GREEN,On plan,1,worse,▲
2025-04-01,K02,New customers,count,higher,Head of Growth,1140.000000,1173.000000,1150.000000,0.991304,-10.000000,0.100000,AMBER,Watch,2,worse,●
2025-04-01,K07,Monthly active customers,count,higher,Head of Product,5263.000000,4576.000000,5400.000000,0.974630,-137.000000,0.050000,AMBER,Watch,2,better,●
2025-04-01,K13,Total deposits,rm,higher,Treasurer,31896287.250000,25400315.960000,25000000.000000,1.275851,6896287.250000,0.050000,GREEN,On plan,1,better,▲
2025-04-01,K14,CASA ratio,pct,higher,Treasurer,0.675589,0.775258,0.800000,0.844487,-0.124411,0.050000,RED,Off plan,3,worse,▼
2025-04-01,K15,Cost of funds,pct,lower,Treasurer,0.024375,0.021961,0.022000,1.107975,0.002375,0.050000,RED,Off plan,3,worse,▼
2025-04-01,K19,PAR30,pct,lower,Head of Credit Risk,0.002681,0.003600,0.025000,0.107239,-0.022319,0.100000,GREEN,On plan,1,better,▲
2025-05-01,K02,New customers,count,higher,Head of Growth,1171.000000,1140.000000,1200.000000,0.975833,-29.000000,0.100000,AMBER,Watch,2,better,●
2025-05-01,K07,Monthly active customers,count,higher,Head of Product,5907.000000,5263.000000,6100.000000,0.968361,-193.000000,0.050000,AMBER,Watch,2,better,●
2025-05-01,K13,Total deposits,rm,higher,Treasurer,38498323.380000,31896287.250000,29000000.000000,1.327528,9498323.380000,0.050000,GREEN,On plan,1,better,▲
2025-05-01,K14,CASA ratio,pct,higher,Treasurer,0.631111,0.675589,0.800000,0.788889,-0.168889,0.050000,RED,Off plan,3,worse,▼
2025-05-01,K15,Cost of funds,pct,lower,Treasurer,0.025849,0.024375,0.022000,1.174941,0.003849,0.050000,RED,Off plan,3,worse,▼
2025-05-01,K19,PAR30,pct,lower,Head of Credit Risk,0.005727,0.002681,0.025000,0.229061,-0.019273,0.100000,GREEN,On plan,1,worse,▲
2025-06-01,K02,New customers,count,higher,Head of Growth,1166.000000,1171.000000,1250.000000,0.932800,-84.000000,0.100000,AMBER,Watch,2,worse,●
2025-06-01,K07,Monthly active customers,count,higher,Head of Product,6615.000000,5907.000000,6800.000000,0.972794,-185.000000,0.050000,AMBER,Watch,2,better,●
2025-06-01,K13,Total deposits,rm,higher,Treasurer,43554311.300000,38498323.380000,33000000.000000,1.319828,10554311.300000,0.050000,GREEN,On plan,1,better,▲
2025-06-01,K14,CASA ratio,pct,higher,Treasurer,0.655776,0.631111,0.800000,0.819720,-0.144224,0.050000,RED,Off plan,3,better,▼
2025-06-01,K15,Cost of funds,pct,lower,Treasurer,0.025959,0.025849,0.022000,1.179944,0.003959,0.050000,RED,Off plan,3,worse,▼
2025-06-01,K19,PAR30,pct,lower,Head of Credit Risk,0.005269,0.005727,0.025000,0.210744,-0.019731,0.100000,GREEN,On plan,1,better,▲
2025-07-01,K02,New customers,count,higher,Head of Growth,1248.000000,1166.000000,1300.000000,0.960000,-52.000000,0.100000,AMBER,Watch,2,better,●
2025-07-01,K07,Monthly active customers,count,higher,Head of Product,7379.000000,6615.000000,7500.000000,0.983867,-121.000000,0.050000,AMBER,Watch,2,better,●
2025-07-01,K13,Total deposits,rm,higher,Treasurer,49919742.790000,43554311.300000,37500000.000000,1.331193,12419742.790000,0.050000,GREEN,On plan,1,better,▲
2025-07-01,K14,CASA ratio,pct,higher,Treasurer,0.683107,0.655776,0.800000,0.853884,-0.116893,0.050000,RED,Off plan,3,better,▼
2025-07-01,K15,Cost of funds,pct,lower,Treasurer,0.025312,0.025959,0.022000,1.150530,0.003312,0.050000,RED,Off plan,3,better,▼
2025-07-01,K19,PAR30,pct,lower,Head of Credit Risk,0.005488,0.005269,0.025000,0.219540,-0.019512,0.100000,GREEN,On plan,1,worse,▲
2025-08-01,K02,New customers,count,higher,Head of Growth,1274.000000,1248.000000,1300.000000,0.980000,-26.000000,0.100000,AMBER,Watch,2,better,●
2025-08-01,K07,Monthly active customers,count,higher,Head of Product,8065.000000,7379.000000,8200.000000,0.983537,-135.000000,0.050000,AMBER,Watch,2,better,●
2025-08-01,K13,Total deposits,rm,higher,Treasurer,55283152.270000,49919742.790000,42000000.000000,1.316266,13283152.270000,0.050000,GREEN,On plan,1,better,▲
2025-08-01,K14,CASA ratio,pct,higher,Treasurer,0.691769,0.683107,0.800000,0.864711,-0.108231,0.050000,RED,Off plan,3,better,▼
2025-08-01,K15,Cost of funds,pct,lower,Treasurer,0.023750,0.025312,0.020000,1.187494,0.003750,0.050000,RED,Off plan,3,better,▼
2025-08-01,K19,PAR30,pct,lower,Head of Credit Risk,0.006521,0.005488,0.025000,0.260852,-0.018479,0.100000,GREEN,On plan,1,worse,▲
2025-09-01,K02,New customers,count,higher,Head of Growth,1301.000000,1274.000000,1350.000000,0.963704,-49.000000,0.100000,AMBER,Watch,2,better,●
2025-09-01,K07,Monthly active customers,count,higher,Head of Product,8815.000000,8065.000000,8900.000000,0.990449,-85.000000,0.050000,AMBER,Watch,2,better,●
2025-09-01,K13,Total deposits,rm,higher,Treasurer,60465024.800000,55283152.270000,47000000.000000,1.286490,13465024.800000,0.050000,GREEN,On plan,1,better,▲
2025-09-01,K14,CASA ratio,pct,higher,Treasurer,0.729641,0.691769,0.800000,0.912052,-0.070359,0.050000,RED,Off plan,3,better,▼
2025-09-01,K15,Cost of funds,pct,lower,Treasurer,0.022720,0.023750,0.020000,1.135977,0.002720,0.050000,RED,Off plan,3,better,▼
2025-09-01,K19,PAR30,pct,lower,Head of Credit Risk,0.010641,0.006521,0.025000,0.425631,-0.014359,0.100000,GREEN,On plan,1,worse,▲
2025-10-01,K02,New customers,count,higher,Head of Growth,1380.000000,1301.000000,1400.000000,0.985714,-20.000000,0.100000,AMBER,Watch,2,better,●
2025-10-01,K07,Monthly active customers,count,higher,Head of Product,9488.000000,8815.000000,9700.000000,0.978144,-212.000000,0.050000,AMBER,Watch,2,better,●
2025-10-01,K13,Total deposits,rm,higher,Treasurer,64932588.210000,60465024.800000,52000000.000000,1.248704,12932588.210000,0.050000,GREEN,On plan,1,better,▲
2025-10-01,K14,CASA ratio,pct,higher,Treasurer,0.778166,0.729641,0.800000,0.972707,-0.021834,0.050000,AMBER,Watch,2,better,●
2025-10-01,K15,Cost of funds,pct,lower,Treasurer,0.021165,0.022720,0.020000,1.058249,0.001165,0.050000,RED,Off plan,3,better,▼
2025-10-01,K19,PAR30,pct,lower,Head of Credit Risk,0.011501,0.010641,0.025000,0.460055,-0.013499,0.100000,GREEN,On plan,1,worse,▲
2025-11-01,K02,New customers,count,higher,Head of Growth,1465.000000,1380.000000,1450.000000,1.010345,15.000000,0.100000,GREEN,On plan,1,better,▲
2025-11-01,K07,Monthly active customers,count,higher,Head of Product,10370.000000,9488.000000,10500.000000,0.987619,-130.000000,0.050000,AMBER,Watch,2,better,●
2025-11-01,K13,Total deposits,rm,higher,Treasurer,70203165.040000,64932588.210000,57500000.000000,1.220925,12703165.040000,0.050000,GREEN,On plan,1,better,▲
