vintage_month,credit_policy,months_on_book,loans,ever_30plus_loans,ever_30plus_rate
2025-01-01,v1,0,139,0,0.000000
2025-01-01,v1,1,139,0,0.000000
2025-01-01,v1,2,139,1,0.007194
2025-01-01,v1,3,139,1,0.007194
2025-01-01,v1,4,139,2,0.014388
2025-01-01,v1,5,139,2,0.014388
2025-01-01,v1,6,139,4,0.028777
2025-01-01,v1,7,139,4,0.028777
2025-01-01,v1,8,139,5,0.035971
2025-01-01,v1,9,139,6,0.043165
2025-01-01,v1,10,139,6,0.043165
2025-01-01,v1,11,139,7,0.050360
2025-01-01,v1,12,139,9,0.064748
2025-01-01,v1,13,139,9,0.064748
2025-01-01,v1,14,139,10,0.071942
2025-01-01,v1,15,139,11,0.079137
2025-01-01,v1,16,139,11,0.079137
2025-01-01,v1,17,139,12,0.086331
2025-01-01,v1,18,139,12,0.086331
2025-01-01,v1,19,139,13,0.093525
2025-02-01,v1,0,198,0,0.000000
2025-02-01,v1,1,198,0,0.000000
2025-02-01,v1,2,198,0,0.000000
2025-02-01,v1,3,198,1,0.005051
2025-02-01,v1,4,198,2,0.010101
2025-02-01,v1,5,198,4,0.020202
2025-02-01,v1,6,198,6,0.030303
2025-02-01,v1,7,198,10,0.050505
2025-02-01,v1,8,198,10,0.050505
2025-02-01,v1,9,198,10,0.050505
2025-02-01,v1,10,198,10,0.050505
2025-02-01,v1,11,198,10,0.050505
2025-02-01,v1,12,198,11,0.055556
2025-02-01,v1,13,198,11,0.055556
2025-02-01,v1,14,198,11,0.055556
2025-02-01,v1,15,198,12,0.060606
2025-02-01,v1,16,198,13,0.065657
2025-02-01,v1,17,198,13,0.065657
2025-02-01,v1,18,198,13,0.065657
2025-03-01,v1,0,144,0,0.000000
2025-03-01,v1,1,144,0,0.000000
2025-03-01,v1,2,144,0,0.000000
2025-03-01,v1,3,144,1,0.006944
2025-03-01,v1,4,144,2,0.013889
2025-03-01,v1,5,144,2,0.013889
2025-03-01,v1,6,144,3,0.020833
2025-03-01,v1,7,144,3,0.020833
2025-03-01,v1,8,144,6,0.041667
2025-03-01,v1,9,144,6,0.041667
2025-03-01,v1,10,144,6,0.041667
2025-03-01,v1,11,144,6,0.041667
2025-03-01,v1,12,144,6,0.041667
2025-03-01,v1,13,144,7,0.048611
2025-03-01,v1,14,144,8,0.055556
2025-03-01,v1,15,144,8,0.055556
2025-03-01,v1,16,144,8,0.055556
2025-03-01,v1,17,144,10,0.069444
2025-04-01,v1,0,170,0,0.000000
2025-04-01,v1,1,170,0,0.000000
2025-04-01,v1,2,170,1,0.005882
2025-04-01,v1,3,170,4,0.023529
2025-04-01,v1,4,170,4,0.023529
2025-04-01,v1,5,170,5,0.029412
2025-04-01,v1,6,170,7,0.041176
2025-04-01,v1,7,170,8,0.047059
2025-04-01,v1,8,170,8,0.047059
2025-04-01,v1,9,170,9,0.052941
2025-04-01,v1,10,170,9,0.052941
2025-04-01,v1,11,170,10,0.058824
2025-04-01,v1,12,170,10,0.058824
2025-04-01,v1,13,170,11,0.064706
2025-04-01,v1,14,170,13,0.076471
2025-04-01,v1,15,170,14,0.082353
2025-04-01,v1,16,170,14,0.082353
2025-05-01,v1,0,128,0,0.000000
2025-05-01,v1,1,128,0,0.000000
2025-05-01,v1,2,128,1,0.007812
2025-05-01,v1,3,128,2,0.015625
2025-05-01,v1,4,128,3,0.023438
2025-05-01,v1,5,128,3,0.023438
2025-05-01,v1,6,128,3,0.023438
2025-05-01,v1,7,128,3,0.023438
2025-05-01,v1,8,128,4,0.031250
2025-05-01,v1,9,128,5,0.039062
2025-05-01,v1,10,128,5,0.039062
2025-05-01,v1,11,128,6,0.046875
2025-05-01,v1,12,128,8,0.062500
2025-05-01,v1,13,128,8,0.062500
2025-05-01,v1,14,128,9,0.070312
2025-05-01,v1,15,128,9,0.070312
2025-06-01,v1,0,180,0,0.000000
2025-06-01,v1,1,180,0,0.000000
2025-06-01,v1,2,180,1,0.005556
2025-06-01,v1,3,180,3,0.016667
2025-06-01,v1,4,180,5,0.027778
2025-06-01,v1,5,180,7,0.038889
2025-06-01,v1,6,180,8,0.044444
2025-06-01,v1,7,180,11,0.061111
2025-06-01,v1,8,180,11,0.061111
2025-06-01,v1,9,180,11,0.061111
2025-06-01,v1,10,180,13,0.072222
2025-06-01,v1,11,180,15,0.083333
2025-06-01,v1,12,180,16,0.088889
2025-06-01,v1,13,180,17,0.094444
2025-06-01,v1,14,180,18,0.100000
2025-07-01,v2,0,400,0,0.000000
2025-07-01,v2,1,400,0,0.000000
2025-07-01,v2,2,400,3,0.007500
2025-07-01,v2,3,400,12,0.030000
2025-07-01,v2,4,400,25,0.062500
2025-07-01,v2,5,400,37,0.092500
2025-07-01,v2,6,400,47,0.117500
2025-07-01,v2,7,400,57,0.142500
2025-07-01,v2,8,400,72,0.180000
2025-07-01,v2,9,400,81,0.202500
2025-07-01,v2,10,400,86,0.215000
2025-07-01,v2,11,400,94,0.235000
2025-07-01,v2,12,400,98,0.245000
2025-07-01,v2,13,400,107,0.267500
2025-08-01,v2,0,387,0,0.000000
2025-08-01,v2,1,387,0,0.000000
2025-08-01,v2,2,387,4,0.010336
2025-08-01,v2,3,387,7,0.018088
2025-08-01,v2,4,387,20,0.051680
2025-08-01,v2,5,387,30,0.077519
2025-08-01,v2,6,387,36,0.093023
2025-08-01,v2,7,387,44,0.113695
2025-08-01,v2,8,387,51,0.131783
2025-08-01,v2,9,387,56,0.144703
2025-08-01,v2,10,387,58,0.149871
2025-08-01,v2,11,387,62,0.160207
2025-08-01,v2,12,387,67,0.173127
2025-09-01,v2,0,394,0,0.000000
2025-09-01,v2,1,394,0,0.000000
2025-09-01,v2,2,394,6,0.015228
2025-09-01,v2,3,394,17,0.043147
2025-09-01,v2,4,394,35,0.088832
2025-09-01,v2,5,394,42,0.106599
2025-09-01,v2,6,394,52,0.131980
2025-09-01,v2,7,394,60,0.152284
2025-09-01,v2,8,394,73,0.185279
2025-09-01,v2,9,394,83,0.210660
2025-09-01,v2,10,394,88,0.223350
2025-09-01,v2,11,394,95,0.241117
2025-10-01,v2,0,432,0,0.000000
2025-10-01,v2,1,432,0,0.000000
2025-10-01,v2,2,432,6,0.013889
2025-10-01,v2,3,432,16,0.037037
2025-10-01,v2,4,432,24,0.055556
2025-10-01,v2,5,432,33,0.076389
2025-10-01,v2,6,432,46,0.106481
2025-10-01,v2,7,432,53,0.122685
2025-10-01,v2,8,432,59,0.136574
2025-10-01,v2,9,432,71,0.164352
2025-10-01,v2,10,432,78,0.180556
2025-11-01,v2,0,450,0,0.000000
2025-11-01,v2,1,450,0,0.000000
2025-11-01,v2,2,450,7,0.015556
2025-11-01,v2,3,450,14,0.031111
2025-11-01,v2,4,450,26,0.057778
2025-11-01,v2,5,450,34,0.075556
2025-11-01,v2,6,450,43,0.095556
2025-11-01,v2,7,450,56,0.124444
2025-11-01,v2,8,450,62,0.137778
2025-11-01,v2,9,450,69,0.153333
2025-12-01,v2,0,449,0,0.000000
2025-12-01,v2,1,449,1,0.002227
2025-12-01,v2,2,449,3,0.006682
2025-12-01,v2,3,449,13,0.028953
2025-12-01,v2,4,449,26,0.057906
2025-12-01,v2,5,449,36,0.080178
2025-12-01,v2,6,449,49,0.109131
2025-12-01,v2,7,449,60,0.133630
2025-12-01,v2,8,449,67,0.149220
2026-01-01,v3,0,238,0,0.000000
2026-01-01,v3,1,238,0,0.000000
2026-01-01,v3,2,238,2,0.008403
2026-01-01,v3,3,238,2,0.008403
2026-01-01,v3,4,238,2,0.008403
2026-01-01,v3,5,238,4,0.016807
2026-01-01,v3,6,238,4,0.016807
2026-01-01,v3,7,238,5,0.021008
2026-02-01,v3,0,275,0,0.000000
2026-02-01,v3,1,275,0,0.000000
2026-02-01,v3,2,275,1,0.003636
2026-02-01,v3,3,275,3,0.010909
2026-02-01,v3,4,275,5,0.018182
2026-02-01,v3,5,275,9,0.032727
2026-02-01,v3,6,275,10,0.036364
2026-03-01,v3,0,229,0,0.000000
2026-03-01,v3,1,229,0,0.000000
2026-03-01,v3,2,229,1,0.004367
2026-03-01,v3,3,229,4,0.017467
2026-03-01,v3,4,229,4,0.017467
2026-03-01,v3,5,229,7,0.030568
2026-04-01,v3,0,280,0,0.000000
2026-04-01,v3,1,280,0,0.000000
2026-04-01,v3,2,280,0,0.000000
2026-04-01,v3,3,280,0,0.000000
2026-04-01,v3,4,280,0,0.000000
2026-05-01,v3,0,252,0,0.000000
2026-05-01,v3,1,252,0,0.000000
2026-05-01,v3,2,252,0,0.000000
2026-05-01,v3,3,252,2,0.007937
2026-06-01,v3,0,253,0,0.000000
2026-06-01,v3,1,253,1,0.003953
2026-06-01,v3,2,253,2,0.007905
2026-07-01,v3,0,231,0,0.000000
2026-07-01,v3,1,231,0,0.000000
2026-08-01,v3,0,244,0,0.000000
