raw_label,state
johor,Johor
johor darul takzim,Johor
johore,Johor
kedah,Kedah
kelantan,Kelantan
kl,Kuala Lumpur
kuala lumpur,Kuala Lumpur
w.p. kuala lumpur,Kuala Lumpur
wp kuala lumpur,Kuala Lumpur
labuan,Labuan
w.p. labuan,Labuan
malacca,Melaka
melaka,Melaka
n. sembilan,Negeri Sembilan
negeri sembilan,Negeri Sembilan
negri sembilan,Negeri Sembilan
pahang,Pahang
p. pinang,Penang
penang,Penang
pulau pinang,Penang
perak,Perak
perlis,Perlis
putrajaya,Putrajaya
w.p. putrajaya,Putrajaya
sabah,Sabah
sarawak,Sarawak
selangor,Selangor
selangor darul ehsan,Selangor
terengganu,Terengganu
