"account_id","balance_date","ledger_balance","currency"
"FD00000001","2024-09-30","6700.00","MYR"
"FD00000002","2024-09-30","17500.00","MYR"
"FD00000003","2024-09-30","11600.00","MYR"
"FD00000004","2024-09-30","16400.00","MYR"
"FD00000005","2024-09-30","4900.00","MYR"
"FD00000006","2024-09-30","3300.00","MYR"
"FD00000007","2024-09-30","10900.00","MYR"
"SA00000001","2024-09-30","32.71","MYR"
"SA00000002","2024-09-30","38.46","MYR"
"SA00000003","2024-09-30","23.13","MYR"
"SA00000004","2024-09-30","10488.14","MYR"
"SA00000005","2024-09-30","36.11","MYR"
"SA00000006","2024-09-30","1359.75","MYR"
"SA00000007","2024-09-30","12925.46","MYR"
"SA00000008","2024-09-30","21.83","MYR"
"SA00000009","2024-09-30","883.01","MYR"
"SA00000010","2024-09-30","15350.03","MYR"
"SA00000011","2024-09-30","1569.52","MYR"
"SA00000012","2024-09-30","473.63","MYR"
"SA00000013","2024-09-30","78.13","MYR"
"SA00000014","2024-09-30","1826.39","MYR"
"SA00000015","2024-09-30","132.66","MYR"
"SA00000016","2024-09-30","21.38","MYR"
"SA00000017","2024-09-30","309.98","MYR"
"SA00000018","2024-09-30","896.79","MYR"
"SA00000019","2024-09-30","957.20","MYR"
"SA00000020","2024-09-30","213.20","MYR"
"SA00000021","2024-09-30","126.16","MYR"
"SA00000022","2024-09-30","24.23","MYR"
"SA00000023","2024-09-30","9684.57","MYR"
"SA00000024","2024-09-30","24391.38","MYR"
"SA00000025","2024-09-30","40.17","MYR"
"SA00000026","2024-09-30","136.32","MYR"
"SA00000027","2024-09-30","13482.65","MYR"
"SA00000028","2024-09-30","21.59","MYR"
"SA00000029","2024-09-30","23.64","MYR"
"SA00000030","2024-09-30","22.02","MYR"
"SA00000031","2024-09-30","43.52","MYR"
"SA00000032","2024-09-30","20.13","MYR"
"SA00000033","2024-09-30","79.58","MYR"
"SA00000034","2024-09-30","24.59","MYR"
"SA00000035","2024-09-30","123.55","MYR"
"SA00000036","2024-09-30","20.74","MYR"
"SA00000037","2024-09-30","8343.74","MYR"
"SA00000038","2024-09-30","20.68","MYR"
"SA00000039","2024-09-30","21.32","MYR"
"SA00000040","2024-09-30","60.69","MYR"
"SA00000041","2024-09-30","151.19","MYR"
"SA00000042","2024-09-30","1228.30","MYR"
"SA00000043","2024-09-30","5616.48","MYR"
"SA00000044","2024-09-30","884.52","MYR"
"SA00000045","2024-09-30","552.90","MYR"
"SA00000046","2024-09-30","20.70","MYR"
"SA00000047","2024-09-30","23.27","MYR"
"SA00000048","2024-09-30","742.75","MYR"
"SA00000049","2024-09-30","91.18","MYR"
"SA00000050","2024-09-30","1243.79","MYR"
"SA00000051","2024-09-30","365.27","MYR"
"SA00000052","2024-09-30","106.40","MYR"
"SA00000053","2024-09-30","24.86","MYR"
"SA00000054","2024-09-30","21.12","MYR"
"SA00000055","2024-09-30","365.70","MYR"
"SA00000056","2024-09-30","122.13","MYR"
"SA00000057","2024-09-30","148.78","MYR"
"SA00000058","2024-09-30","6711.27","MYR"
"SA00000059","2024-09-30","10.08","MYR"
"SA00000060","2024-09-30","25.75","MYR"
"SA00000061","2024-09-30","7938.83","MYR"
"SA00000062","2024-09-30","57.11","MYR"
"SA00000063","2024-09-30","2207.89","MYR"
"SA00000064","2024-09-30","25.52","MYR"
"SA00000065","2024-09-30","249.38","MYR"
"SA00000066","2024-09-30","540.50","MYR"
"SA00000067","2024-09-30","12.59","MYR"
"SA00000068","2024-09-30","9262.75","MYR"
"SA00000069","2024-09-30","68.98","MYR"
"SA00000070","2024-09-30","6890.96","MYR"
"SA00000071","2024-09-30","153.42","MYR"
"SA00000072","2024-09-30","24.58","MYR"
"SA00000073","2024-09-30","496.58","MYR"
"SA00000074","2024-09-30","20.37","MYR"
"SA00000075","2024-09-30","630.25","MYR"
"SA00000076","2024-09-30","20.11","MYR"
"SA00000077","2024-09-30","686.79","MYR"
"SA00000078","2024-09-30","3416.76","MYR"
"SA00000079","2024-09-30","367.67","MYR"
"SA00000080","2024-09-30","14.38","MYR"
"SA00000081","2024-09-30","238.28","MYR"
"SA00000082","2024-09-30","15.37","MYR"
"SA00000083","2024-09-30","58.39","MYR"
"SA00000084","2024-09-30","43.69","MYR"
"SA00000085","2024-09-30","148.67","MYR"
"SA00000086","2024-09-30","85.94","MYR"
"SA00000087","2024-09-30","93.26","MYR"
"SA00000088","2024-09-30","23.96","MYR"
"SA00000089","2024-09-30","263.94","MYR"
"SA00000090","2024-09-30","371.24","MYR"
"SA00000091","2024-09-30","104.25","MYR"
"SA00000092","2024-09-30","20.38","MYR"
"SA00000093","2024-09-30","24.60","MYR"
"SA00000094","2024-09-30","13938.63","MYR"
"SA00000095","2024-09-30","390.62","MYR"
"SA00000096","2024-09-30","1480.28","MYR"
"SA00000097","2024-09-30","9574.78","MYR"
"SA00000098","2024-09-30","10834.61","MYR"
"SA00000099","2024-09-30","14.57","MYR"
"SA00000100","2024-09-30","171.31","MYR"
"SA00000101","2024-09-30","981.89","MYR"
"SA00000102","2024-09-30","1184.77","MYR"
"SA00000103","2024-09-30","179.44","MYR"
"SA00000104","2024-09-30","30.00","MYR"
"SA00000105","2024-09-30","22613.77","MYR"
"SA00000106","2024-09-30","308.34","MYR"
"SA00000107","2024-09-30","502.29","MYR"
"SA00000108","2024-09-30","11884.05","MYR"
"SA00000109","2024-09-30","34.58","MYR"
"SA00000110","2024-09-30","683.60","MYR"
"SA00000111","2024-09-30","68.46","MYR"
"SA00000112","2024-09-30","80.32","MYR"
"SA00000113","2024-09-30","251.83","MYR"
"SA00000114","2024-09-30","2891.68","MYR"
"SA00000115","2024-09-30","373.59","MYR"
"SA00000116","2024-09-30","76946.10","MYR"
"SA00000117","2024-09-30","32.93","MYR"
"SA00000118","2024-09-30","399.10","MYR"
"SA00000119","2024-09-30","1955.19","MYR"
"SA00000120","2024-09-30","2054.91","MYR"
"SA00000121","2024-09-30","23.37","MYR"
"SA00000122","2024-09-30","21.74","MYR"
"SA00000123","2024-09-30","460.80","MYR"
"SA00000124","2024-09-30","20.79","MYR"
"SA00000125","2024-09-30","240.42","MYR"
"SA00000126","2024-09-30","139.59","MYR"
"SA00000127","2024-09-30","1232.15","MYR"
"SA00000128","2024-09-30","486.77","MYR"
"SA00000129","2024-09-30","10538.84","MYR"
"SA00000130","2024-09-30","25.35","MYR"
"SA00000131","2024-09-30","102.69","MYR"
"SA00000132","2024-09-30","1789.52","MYR"
"SA00000133","2024-09-30","138.50","MYR"
"SA00000134","2024-09-30","56.10","MYR"
"SA00000135","2024-09-30","2841.37","MYR"
"SA00000136","2024-09-30","56.85","MYR"
"SA00000137","2024-09-30","23.79","MYR"
"SA00000138","2024-09-30","1438.41","MYR"
"SA00000139","2024-09-30","698.71","MYR"
"SA00000140","2024-09-30","20.31","MYR"
"SA00000141","2024-09-30","6312.90","MYR"
"SA00000142","2024-09-30","15075.40","MYR"
"SA00000143","2024-09-30","20.04","MYR"
"SA00000144","2024-09-30","80.70","MYR"
"SA00000145","2024-09-30","1043.66","MYR"
"SA00000146","2024-09-30","21.38","MYR"
"SA00000147","2024-09-30","94.31","MYR"
"SA00000148","2024-09-30","314.47","MYR"
"SA00000149","2024-09-30","197.46","MYR"
"SA00000150","2024-09-30","1241.64","MYR"
"SA00000151","2024-09-30","22881.97","MYR"
"SA00000152","2024-09-30","21.24","MYR"
"SA00000153","2024-09-30","339.17","MYR"
"SA00000154","2024-09-30","2376.17","MYR"
"SA00000155","2024-09-30","20.94","MYR"
"SA00000156","2024-09-30","9314.62","MYR"
"SA00000157","2024-09-30","288.35","MYR"
"SA00000158","2024-09-30","212.53","MYR"
"SA00000159","2024-09-30","552.45","MYR"
"SA00000160","2024-09-30","35.52","MYR"
"SA00000161","2024-09-30","411.05","MYR"
"SA00000162","2024-09-30","754.52","MYR"
"SA00000163","2024-09-30","87.43","MYR"
