"account_id","customer_id","product_code","open_date","close_date","account_status","interest_rate_pct","principal","tenor_months","maturity_date","campaign_code","rollover_of_account_id","linked_account_id","activation_date"
"DC00000002","C0000002","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000002","2024-09-02"
"DC00000005","C0000005","DC-01","2024-09-01","","NOT_ACTIVATED",,,,"",,,"SA00000005",""
"DC00000006","C0000006","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000006","2024-09-18"
"DC00000008","C0000008","DC-01","2024-09-01","","NOT_ACTIVATED",,,,"",,,"SA00000008",""
"DC00000009","C0000009","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000009","2024-09-08"
"DC00000010","C0000010","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000010","2024-12-04"
"DC00000011","C0000011","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000011","2024-09-05"
"DC00000012","C0000012","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000012","2024-09-08"
"DC00000013","C0000013","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000013","2024-09-05"
"DC00000014","C0000014","DC-01","2024-09-01","","ACTIVE",,,,"",,,"SA00000014","2024-09-06"
"SA00000001","C0000001","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000002","C0000002","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000003","C0000003","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000004","C0000004","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000005","C0000005","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000006","C0000006","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000007","C0000007","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000008","C0000008","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000009","C0000009","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000010","C0000010","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000011","C0000011","SAV01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000012","C0000012","sav-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000013","C0000013","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000014","C0000014","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"SA00000015","C0000015","SAV-01","2024-09-01","","ACTIVE",1.85,,,"",,,,""
"DC00000016","C0000016","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000016",""
"DC00000018","C0000018","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000018","2024-09-07"
"DC00000019","C0000019","DC01","2024-09-02","","ACTIVE",,,,"",,,"SA00000019","2024-09-06"
"DC00000020","C0000020","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000020","2024-09-03"
"DC00000021","C0000021","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000021",""
"DC00000023","C0000023","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000023","2024-09-16"
"DC00000025","C0000025","DC01","2024-09-02","","ACTIVE",,,,"",,,"SA00000025","2024-12-02"
"DC00000026","C0000026","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000026","2024-09-05"
"DC00000028","C0000028","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000028",""
"DC00000029","C0000029","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000029",""
"DC00000030","C0000030","DC-01","2024-09-02","2025-01-09","CLOSED",,,,"",,,"SA00000030","2024-09-12"
"DC00000031","C0000031","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000031","2024-09-09"
"DC00000032","C0000032","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000032","2024-10-25"
"DC00000038","C0000038","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000038",""
"DC00000039","C0000039","DC-01","2024-09-02","2025-01-20","CLOSED",,,,"",,,"SA00000039",""
"DC00000040","C0000040","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000040",""
"DC00000041","C0000041","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000041","2024-09-03"
"DC00000042","C0000042","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000042","2024-09-04"
"DC00000043","C0000043","DC-01","2024-09-02","","NOT_ACTIVATED",,,,"",,,"SA00000043",""
"DC00000044","C0000044","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000044","2024-09-10"
"DC00000045","C0000045","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000045","2024-09-06"
"DC00000048","C0000048","DC-01","2024-09-02","","ACTIVE",,,,"",,,"SA00000048","2024-09-04"
"SA00000016","C0000016","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000017","C0000017","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000018","C0000018","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000019","C0000019","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000020","C0000020","SAV01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000021","C0000021","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000022","C0000022","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000023","C0000023","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000024","C0000024","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000025","C0000025","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000026","C0000026","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000027","C0000027","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000028","C0000028","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000029","C0000029","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000030","C0000030","SAV-01","2024-09-02","2025-01-09","CLOSED",1.85,,,"",,,,""
"SA00000031","C0000031","sav-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000032","C0000032","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000033","C0000033","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000034","C0000034","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000035","C0000035","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000036","C0000036","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000037","C0000037","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000038","C0000038","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000039","C0000039","SAV-01","2024-09-02","2025-01-20","CLOSED",1.85,,,"",,,,""
"SA00000040","C0000040","SAV01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000041","C0000041","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000042","C0000042","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000043","C0000043","SAV01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000044","C0000044","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000045","C0000045","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000046","C0000046","sav-01","2024-09-02","2025-01-09","CLOSED",1.85,,,"",,,,""
"SA00000047","C0000047","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000048","C0000048","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"SA00000049","C0000049","SAV-01","2024-09-02","","ACTIVE",1.85,,,"",,,,""
"DC00000050","C0000050","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000050","2024-09-10"
"DC00000051","C0000051","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000051","2024-09-07"
"DC00000053","C0000053","DC-01","2024-09-03","","NOT_ACTIVATED",,,,"",,,"SA00000053",""
"DC00000055","C0000055","DC-01","2024-09-03","2025-11-05","CLOSED",,,,"",,,"SA00000055",""
"DC00000056","C0000056","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000056","2024-09-03"
"DC00000057","C0000057","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000057","2024-09-14"
"DC00000059","C0000059","DC01","2024-09-03","","NOT_ACTIVATED",,,,"",,,"SA00000059",""
"DC00000060","C0000060","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000060","2024-12-03"
"DC00000062","C0000062","DC-01","2024-09-03","2024-12-26","CLOSED",,,,"",,,"SA00000062","2024-09-05"
"DC00000063","C0000063","DC01","2024-09-03","","ACTIVE",,,,"",,,"SA00000063","2024-09-18"
"DC00000064","C0000064","DC01","2024-09-03","","NOT_ACTIVATED",,,,"",,,"SA00000064",""
"DC00000065","C0000065","DC-01","2024-09-03","","NOT_ACTIVATED",,,,"",,,"SA00000065",""
"DC00000066","C0000066","DC01","2024-09-03","","NOT_ACTIVATED",,,,"",,,"SA00000066",""
"DC00000067","C0000067","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000067","2024-09-04"
"DC00000069","C0000069","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000069","2024-09-04"
"DC00000073","C0000073","DC-01","2024-09-03","","ACTIVE",,,,"",,,"SA00000073","2024-11-19"
"SA00000050","C0000050","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000051","C0000051","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000052","C0000052","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000053","C0000053","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000054","C0000054","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000055","C0000055","SAV-01","2024-09-03","2025-11-05","CLOSED",1.85,,,"",,,,""
"SA00000056","C0000056","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000057","C0000057","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000058","C0000058","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000059","C0000059","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000060","C0000060","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000061","C0000061","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000062","C0000062","SAV-01","2024-09-03","2024-12-26","CLOSED",1.85,,,"",,,,""
"SA00000063","C0000063","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000064","C0000064","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000065","C0000065","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000066","C0000066","SAV01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000067","C0000067","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000068","C0000068","SAV-01","2024-09-03","2024-11-23","CLOSED",1.85,,,"",,,,""
"SA00000069","C0000069","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000070","C0000070","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000071","C0000071","SAV01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000072","C0000072","sav-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"SA00000073","C0000073","SAV-01","2024-09-03","","ACTIVE",1.85,,,"",,,,""
"DC00000077","C0000077","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000077","2024-09-09"
"DC00000078","C0000078","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000078","2024-09-08"
"DC00000079","C0000079","DC-01","2024-09-04","","NOT_ACTIVATED",,,,"",,,"SA00000079",""
"DC00000081","C0000081","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000081","2024-11-05"
"DC00000082","C0000082","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000082","2024-09-04"
"DC00000084","C0000084","DC-01","2024-09-04","2025-10-26","CLOSED",,,,"",,,"SA00000084","2024-09-07"
"DC00000085","C0000085","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000085","2024-09-05"
"DC00000086","C0000086","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000086","2024-09-16"
"DC00000089","C0000089","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000089","2024-09-05"
"DC00000090","C0000090","DC01","2024-09-04","","ACTIVE",,,,"",,,"SA00000090","2024-09-05"
"DC00000091","C0000091","DC-01","2024-09-04","","ACTIVE",,,,"",,,"SA00000091","2024-09-08"
"SA00000074","C0000074","SAV-01","2024-09-04","2024-11-18","CLOSED",1.85,,,"",,,,""
"SA00000075","C0000075","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000076","C0000076","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000077","C0000077","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000078","C0000078","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000079","C0000079","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000080","C0000080","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000081","C0000081","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000082","C0000082","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000083","C0000083","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000084","C0000084","SAV-01","2024-09-04","2025-10-26","CLOSED",1.85,,,"",,,,""
"SA00000085","C0000085","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000086","C0000086","SAV01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000087","C0000087","SAV-01","2024-09-04","2026-06-07","CLOSED",1.85,,,"",,,,""
"SA00000088","C0000088","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000089","C0000089","sav-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000090","C0000090","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000091","C0000091","SAV-01","2024-09-04","","ACTIVE",1.85,,,"",,,,""
"SA00000092","C0000092","SAV-01","2024-09-04","2024-11-24","CLOSED",1.85,,,"",,,,""
"DC00000094","C0000094","DC-01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000094",""
"DC00000095","C0000095","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000095","2024-11-09"
"DC00000096","C0000096","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000096","2024-09-07"
"DC00000098","C0000098","DC-01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000098",""
"DC00000099","C0000099","DC01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000099",""
"DC00000102","C0000102","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000102","2024-09-05"
"DC00000103","C0000103","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000103","2024-09-08"
"DC00000104","C0000104","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000104","2024-09-07"
"DC00000105","C0000105","DC-01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000105",""
"DC00000106","C0000106","DC01","2024-09-05","","ACTIVE",,,,"",,,"SA00000106","2024-09-08"
"DC00000107","C0000107","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000107","2024-09-05"
"DC00000108","C0000108","DC-01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000108",""
"DC00000109","C0000109","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000109","2024-09-09"
"DC00000110","C0000110","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000110","2024-09-12"
"DC00000111","C0000111","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000111","2024-09-06"
"DC00000112","C0000112","DC-01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000112",""
"DC00000113","C0000113","DC-01","2024-09-05","","NOT_ACTIVATED",,,,"",,,"SA00000113",""
"DC00000115","C0000115","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000115","2024-09-15"
"DC00000118","C0000118","DC01","2024-09-05","","ACTIVE",,,,"",,,"SA00000118","2024-09-08"
"DC00000119","C0000119","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000119","2024-09-08"
"DC00000120","C0000120","DC-01","2024-09-05","","ACTIVE",,,,"",,,"SA00000120","2024-09-06"
"SA00000093","C0000093","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000094","C0000094","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000095","C0000095","SAV01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000096","C0000096","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000097","C0000097","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000098","C0000098","sav-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000099","C0000099","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000100","C0000100","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000101","C0000101","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000102","C0000102","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000103","C0000103","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000104","C0000104","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000105","C0000105","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000106","C0000106","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000107","C0000107","sav-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000108","C0000108","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000109","C0000109","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000110","C0000110","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000111","C0000111","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000112","C0000112","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000113","C0000113","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000114","C0000114","sav-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000115","C0000115","sav-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
"SA00000116","C0000116","SAV-01","2024-09-05","","ACTIVE",1.85,,,"",,,,""
