"auth_id","card_id","auth_ts","amount","currency","mcc","merchant_category","entry_mode","response_code","status","settlement_date","record_updated_at"
"AU0000000001","DC00000041","2024-09-03 02:33:00","8.02","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240903","2024-09-02T21:00:00"
"AU0000000002","DC00000020","2024-09-03 04:40:37","379.16","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240903","2024-09-02T21:00:00"
"AU0000000001","DC00000041","2024-09-03 02:33:00","8.02","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240903","2024-09-03T21:00:00"
"AU0000000003","DC00000041","2024-09-03 04:49:09","5.22","MYR",4121,"E-HAILING AND TAXIS","CHIP","00","APPROVED","20240904","2024-09-03T21:00:00"
"AU0000000009","DC00000090","2024-09-05 12:22:05","63.93","MYR",5812,"RESTAURANTS","CONTACTLESS","00","APPROVED","20240905","2024-09-04T21:00:00"
"AU0000000010","DC00000062","2024-09-05 15:04:27","225.74","MYR",5541,"Fuel","CONTACTLESS","00","APPROVED","20240905","2024-09-04T21:00:00"
"AU0000000004","DC00000020","2024-09-04 05:43:43","529.67","MYR",5411,"groceries","CONTACTLESS","00","Approved","20240906","2024-09-05T21:00:00"
"AU0000000005","DC00000085","2024-09-05 00:09:16","27.57","MYR",4899,"Streaming and subscriptions","ECOM","00","APPROVED","20240906","2024-09-05T21:00:00"
"AU0000000006","DC00000042","2024-09-05 06:00:38","154.38","MYR",5814,"Fast food","CHIP","00","Approved","20240906","2024-09-05T21:00:00"
"AU0000000007","DC00000062","2024-09-05 10:56:24","10.41","MYR",5814,"fast food","CONTACTLESS","00","APPR","20240906","2024-09-05T21:00:00"
"AU0000000008","DC00000020","2024-09-05 12:15:28","649.19","MYR",5399,"online marketplaces","E-COM","00","APPROVED","20240906","2024-09-05T21:00:00"
"AU0000000013","DC00000085","2024-09-05 23:53:34","108.25","MYR",5812,"RESTAURANTS","CONTACTLESS","00","APPROVED","20240906","2024-09-05T21:00:00"
"AU0000000017","DC00000062","2024-09-06 06:05:13","61.41","MYR",5411,"Groceries","CONTACTLESS","00","APPROVED","20240906","2024-09-05T21:00:00"
"AU0000000011","DC00000062","2024-09-05 19:33:44","19.46","MYR",4121,"E-HAILING AND TAXIS","CONTACTLESS","00","APPROVED","20240907","2024-09-06T21:00:00"
"AU0000000014","DC00000013","2024-09-06 00:00:40","12.79","MYR",5814,"Fast food","CHIP","00","APPROVED","20240907","2024-09-06T21:00:00"
"AU0000000016","DC00000011","2024-09-06 03:30:34","276.97","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240907","2024-09-06T21:00:00"
"AU0000000019","DC00000102","2024-09-06 13:17:59","89.88","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240907","2024-09-06T21:00:00"
"AU0000000020","DC00000013","2024-09-06 14:23:53","42.52","MYR",5732,"Electronics","CHIP","00","APPROVED","20240907","2024-09-06T21:00:00"
"AU0000000021","DC00000026","2024-09-06 15:38:57","4.99","MYR",5541,"Fuel","CONTACTLESS","00","APPR","20240907","2024-09-06T21:00:00"
"AU0000000012","DC00000107","2024-09-05 22:43:27","78.43","MYR",5411,"groceries","CONTACTLESS","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000015","DC00000085","2024-09-06 02:43:58","69.68","MYR",4899,"Streaming and subscriptions","ECOM","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000018","DC00000062","2024-09-06 06:32:06","128.62","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000022","DC00000104","2024-09-06 23:28:13","20.53","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000023","DC00000048","2024-09-06 23:53:11","107.46","MYR",5812,"RESTAURANTS","contactless","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000024","DC00000019","2024-09-07 10:36:46","619.74","MYR",5399,"ONLINE MARKETPLACES","E-COM","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000025","DC00000089","2024-09-07 11:29:55","57.58","MYR",5814,"Fast food","CONTACTLESS","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000026","DC00000120","2024-09-07 12:11:17","2427.43","MYR",5812,"RESTAURANTS","CHIP","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000028","DC00000018","2024-09-07 13:45:30","73.78","MYR",5399,"online marketplaces","ECOM","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000029","DC00000048","2024-09-07 14:40:37","150.23","MYR",5541,"Fuel","CHIP","00","APPROVED","20240908","2024-09-07T21:00:00"
