"customer_id","applicant_id","open_date","birth_year","state","employment_type","monthly_income_band","risk_rating","fraud_flag_date","customer_status","last_updated_at"
"C0000001","A0000001","01/09/2024",1993,"SELANGOR","Student","<2k","low","","ACTIVE","2024-08-31T18:35:54"
"C0000002","A0000003","01/09/2024",2000,"Selangor Darul Ehsan","Not working","2k-4k","low","","ACTIVE","2024-08-31T23:17:57"
"C0000003","A0000005","01/09/2024",1992,"Kuala Lumpur","salaried","2k-4k","medium","","ACTIVE","2024-09-01T00:18:11"
"C0000004","A0000012","01/09/2024",1987,"Selangor Darul Ehsan","salaried","4k-6k","medium","","ACTIVE","2024-09-01T03:48:48"
"C0000005","A0000013","01/09/2024",1993,"SARAWAK","SALARIED","2k-4k","low","","ACTIVE","2024-09-01T04:20:43"
"C0000006","A0000014","01/09/2024",1999,"Pahang","Salaried","2k-4k","medium","","ACTIVE","2024-09-01T04:40:36"
"C0000007","A0000015","01/09/2024",1987,"Pahang","Retired",">10k","low","","ACTIVE","2024-09-01T05:21:30"
"C0000008","A0000018","01/09/2024",1996,"Kuala Lumpur","SALARIED","2k-4k","low","","ACTIVE","2024-09-01T05:54:23"
"C0000009","A0000017","01/09/2024",2000,"Selangor Darul Ehsan","Salaried","2k-4k","low","","ACTIVE","2024-09-01T06:02:31"
"C0000010","A0000023","01/09/2024",1981,"Kuala Lumpur","SALARIED","4k-6k","low","","ACTIVE","2024-09-01T07:15:13"
"C0000011","A0000029","01/09/2024",1989,"Kuala Lumpur","SALARIED","6k-10k","low","","ACTIVE","2024-09-01T10:04:12"
"C0000012","A0000030","01/09/2024",1988,"N. Sembilan","Salaried","2k-4k","low","","ACTIVE","2024-09-01T10:13:45"
"C0000013","A0000038","01/09/2024",1994,"Perlis","Salaried","4k-6k","low","","ACTIVE","2024-09-01T13:12:19"
"C0000014","A0000002","01/09/2024",1987,"Terengganu","Retired","4k-6k","low","","ACTIVE","2024-09-01T13:56:26"
"C0000015","A0000045","01/09/2024",1999,"Johor Darul Takzim","self_employed","2k-4k","medium","","ACTIVE","2024-09-01T15:55:13"
"C0000016","A0000033","02/09/2024",1996,"JOHOR","Student","2k-4k","low","","ACTIVE","2024-09-01T17:03:44"
"C0000017","A0000026","02/09/2024",1996,"Selangor","salaried","<2k","low","","ACTIVE","2024-09-02T01:03:42"
"C0000018","A0000056","02/09/2024",1990,"Selangor","Student","4k-6k","medium","","ACTIVE","2024-09-02T01:32:27"
"C0000019","A0000055","02/09/2024",1994,"Selangor Darul Ehsan","Self-employed","4k-6k","low","","ACTIVE","2024-09-02T01:35:00"
"C0000020","A0000057","02/09/2024",1984,"Kuala Lumpur","Student","2k-4k","medium","","ACTIVE","2024-09-02T01:39:45"
"C0000021","A0000059","02/09/2024",1981,"Perak","Salaried","4k-6k","low","","ACTIVE","2024-09-02T02:12:23"
"C0000022","A0000061","02/09/2024",2003,"Kelantan","Not working","<2k","low","","ACTIVE","2024-09-02T03:39:52"
"C0000023","A0000062","02/09/2024",1980,"Sarawak","Salaried","4k-6k","medium","","ACTIVE","2024-09-02T03:41:52"
"C0000024","A0000048","02/09/2024",1993,"W.P. Kuala Lumpur","SELF EMPLOYED","6k-10k","low","","ACTIVE","2024-09-02T04:55:44"
"C0000025","A0000067","02/09/2024",1988,"Selangor","salaried","2k-4k","low","","ACTIVE","2024-09-02T06:18:37"
"C0000026","A0000069","02/09/2024",2000,"Selangor","Not working","2k-4k","low","","ACTIVE","2024-09-02T06:43:50"
"C0000027","A0000072","02/09/2024",1982,"SELANGOR","Salaried","6k-10k","low","","ACTIVE","2024-09-02T07:15:00"
"C0000028","A0000074","02/09/2024",2000,"Selangor Darul Ehsan","STUDENT","2k-4k","medium","","ACTIVE","2024-09-02T07:49:31"
"C0000029","A0000075","02/09/2024",2001,"PENANG","Salaried","2k-4k","medium","","ACTIVE","2024-09-02T08:05:59"
"C0000030","A0000076","02/09/2024",2000,"Kedah","salaried","2k-4k","low","","CLOSED","2024-09-02T08:14:03"
"C0000031","A0000047","02/09/2024",1999,"Melaka","SELF EMPLOYED","2k-4k","low","","ACTIVE","2024-09-02T08:20:42"
"C0000032","A0000079","02/09/2024",2000,"Negri Sembilan","Student","2k-4k","low","","ACTIVE","2024-09-02T09:50:03"
"C0000033","A0000082","02/09/2024",1998,"SABAH","Salaried","2k-4k","low","","ACTIVE","2024-09-02T10:31:30"
"C0000034","A0000086","02/09/2024",2003,"WP Kuala Lumpur","Student","<2k","low","","ACTIVE","2024-09-02T11:31:05"
"C0000035","A0000025","02/09/2024",1996,"SELANGOR","SALARIED","4k-6k","low","","ACTIVE","2024-09-02T12:04:48"
"C0000036","A0000091","02/09/2024",2001,"PENANG","SALARIED","2k-4k","low","","ACTIVE","2024-09-02T12:48:32"
"C0000037","A0000092","02/09/2024",1982,"Kuala Lumpur","Salaried","4k-6k","low","","ACTIVE","2024-09-02T12:52:51"
"C0000038","A0000093","02/09/2024",1989,"Selangor Darul Ehsan","Salaried","2k-4k","low","","ACTIVE","2024-09-02T13:25:04"
"C0000039","A0000096","02/09/2024",1995,"SARAWAK","Student","<2k","low","","CLOSED","2024-09-02T13:31:04"
"C0000040","A0000095","02/09/2024",1996,"Kedah","Salaried","4k-6k","low","","ACTIVE","2024-09-02T13:46:56"
"C0000041","A0000099","02/09/2024",2001,"Selangor Darul Ehsan","Salaried","2k-4k","low","","ACTIVE","2024-09-02T14:07:15"
"C0000042","A0000104","02/09/2024",1999,"KL","Salaried","2k-4k","medium","","ACTIVE","2024-09-02T14:52:07"
"C0000043","A0000109","02/09/2024",1992,"Sarawak","SALARIED","6k-10k","low","","ACTIVE","2024-09-02T15:10:15"
"C0000044","A0000111","02/09/2024",1998,"Kuala Lumpur","Salaried","2k-4k","low","","ACTIVE","2024-09-02T15:45:30"
"C0000045","A0000113","02/09/2024",1978,"Johor","Self-employed","4k-6k","low","","ACTIVE","2024-09-02T16:00:28"
"C0000046","A0000115","02/09/2024",1988,"JOHOR","Student","2k-4k","low","","CLOSED","2024-09-02T16:07:32"
